10/8/2023, 8:42:47 PM 
Role,Company,LinkedIn 
Product Designer - Reality Labs, Meta, https://www.linkedin.com/jobs/view/product-designer-reality-labs-at-meta-3725768955?refId=YtDd25DL%2BuB0t%2FdqUVRtDQ%3D%3D&trackingId=2HxZf7kxiZWSUTJ4TVwrYg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
UX/Visual Designer II, Dice, https://www.linkedin.com/jobs/view/ux-visual-designer-ii-at-dice-3730754688?refId=YtDd25DL%2BuB0t%2FdqUVRtDQ%3D%3D&trackingId=P%2F3H911J6XWef9QTovapXw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
