10/3/2023, 10:31:20 PM 
Role,Company,LinkedIn 
Content Designer, Meta, https://www.linkedin.com/jobs/view/content-designer-at-meta-3725829115?refId=%2BaWEB1C6JRriVJ2H6pSlRQ%3D%3D&trackingId=vtTqf%2FQDmFSCqAdLAuZSjQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Staff Motion Designer, eBay, https://www.linkedin.com/jobs/view/staff-motion-designer-at-ebay-3732393753?refId=%2BaWEB1C6JRriVJ2H6pSlRQ%3D%3D&trackingId=lYtHjdzQO4R6MtotKMA33Q%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Product Designer - Monetization, Meta, https://www.linkedin.com/jobs/view/product-designer-monetization-at-meta-3725771018?refId=%2BaWEB1C6JRriVJ2H6pSlRQ%3D%3D&trackingId=URHlm%2BStFecelufRqX%2ByOQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
Product Designer - Monetization, Meta, https://www.linkedin.com/jobs/view/product-designer-monetization-at-meta-3725766790?refId=%2BaWEB1C6JRriVJ2H6pSlRQ%3D%3D&trackingId=yzJRhSlTReW2Tbe5AwMghg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
Dashboard Design Lead, OMG23, https://www.linkedin.com/jobs/view/dashboard-design-lead-at-omg23-3731972219?refId=%2BaWEB1C6JRriVJ2H6pSlRQ%3D%3D&trackingId=kr3QTPhK2nVnNrwj8S0HuA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card 
Dashboard Design Lead, Hearts & Science, https://www.linkedin.com/jobs/view/dashboard-design-lead-at-hearts-science-3727786907?refId=%2BaWEB1C6JRriVJ2H6pSlRQ%3D%3D&trackingId=7G33qd7sdf%2Fn%2Fnm4mw438g%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card 
Dashboard Design Lead, OMD USA, https://www.linkedin.com/jobs/view/dashboard-design-lead-at-omd-usa-3732381121?refId=%2BaWEB1C6JRriVJ2H6pSlRQ%3D%3D&trackingId=s%2FBUDHmbiFCU54%2BNfkxiHQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card 
