10/10/2023, 2:00:00 PM 
Role,Company,LinkedIn 
Interaction Designer Google Cloud, Google, https://www.linkedin.com/jobs/view/interaction-designer-google-cloud-at-google-3728288078?refId=pnzhAJ%2B1oG1lkPNPYR%2BUew%3D%3D&trackingId=7x5vRXyvreLDgtg6kE4aIg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Designer - Baby Boy's Apparel, Fourth Floor, https://www.linkedin.com/jobs/view/designer-baby-boy-s-apparel-at-fourth-floor-3721946846?refId=pnzhAJ%2B1oG1lkPNPYR%2BUew%3D%3D&trackingId=vX5wkvhtT6mBEG7OdTjTLA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Art Director [72776], Onward Search, https://www.linkedin.com/jobs/view/senior-art-director-72776-at-onward-search-3736904583?refId=pnzhAJ%2B1oG1lkPNPYR%2BUew%3D%3D&trackingId=rVqEsfNRmcFuDF7QTuaj7g%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
Director Creative & Purchasing, Groupe Clarins, https://www.linkedin.com/jobs/view/director-creative-purchasing-at-groupe-clarins-3731512700?refId=pnzhAJ%2B1oG1lkPNPYR%2BUew%3D%3D&trackingId=zMlJp3MVRioWcm3GYavuIw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card 
Designer - Forensics, Thornton Tomasetti, https://www.linkedin.com/jobs/view/designer-forensics-at-thornton-tomasetti-3736789235?refId=pnzhAJ%2B1oG1lkPNPYR%2BUew%3D%3D&trackingId=%2Fm8hixu%2FPAYqPVoUEjAeTg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card 
Sr Infrastructure Architect Designer, Virtusa, https://www.linkedin.com/jobs/view/sr-infrastructure-architect-designer-at-virtusa-3735227891?refId=pnzhAJ%2B1oG1lkPNPYR%2BUew%3D%3D&trackingId=Ckpq6gaT8GdhDPdsBsMCgw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card 
Pega Architect, Dice, https://www.linkedin.com/jobs/view/pega-architect-at-dice-3728166328?refId=pnzhAJ%2B1oG1lkPNPYR%2BUew%3D%3D&trackingId=flvrriLQRuKww%2Fx0NR4mNQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card 
Pega Developer/Architect, Dice, https://www.linkedin.com/jobs/view/pega-developer-architect-at-dice-3729493206?refId=pnzhAJ%2B1oG1lkPNPYR%2BUew%3D%3D&trackingId=cTirOqmNdB%2BMAgtknJMjiw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card 
