10/10/2023, 5:47:25 PM 
Role,Company,LinkedIn 
Associate Designer, SBH Fashion, https://www.linkedin.com/jobs/view/associate-designer-at-sbh-fashion-3696090238?refId=Vzu5oeLmz62YjAMmu%2BWb6A%3D%3D&trackingId=AtnljNLmhAeNClP0YvjHGQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Graphic Design Specialist (Onsite), Cella, https://www.linkedin.com/jobs/view/graphic-design-specialist-onsite-at-cella-3735354637?refId=Vzu5oeLmz62YjAMmu%2BWb6A%3D%3D&trackingId=2PLVr5TS5a56CoJiOhydJA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Assistant Designer (Design Ops), Centric Brands, https://www.linkedin.com/jobs/view/assistant-designer-design-ops-at-centric-brands-3735353878?refId=Vzu5oeLmz62YjAMmu%2BWb6A%3D%3D&trackingId=S5VnNPTerPEWgKrrqmanTQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Freelance Fashion Designer, Retrofête, https://www.linkedin.com/jobs/view/freelance-fashion-designer-at-retrof%C3%AAte-3736933341?refId=Vzu5oeLmz62YjAMmu%2BWb6A%3D%3D&trackingId=qumJ7X%2FK6BQk9%2BMSJ12Iqg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Art Director, Coinbase, https://www.linkedin.com/jobs/view/senior-art-director-at-coinbase-3731531669?refId=Vzu5oeLmz62YjAMmu%2BWb6A%3D%3D&trackingId=3KMiRP0YOfABKCPdbCgVKQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
Marketing Coordinator, The Crox Group, https://www.linkedin.com/jobs/view/marketing-coordinator-at-the-crox-group-3736931939?refId=Vzu5oeLmz62YjAMmu%2BWb6A%3D%3D&trackingId=DBqzbvViHcdvGjSWU7hCGQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Product Designer - Hybrid, UX Hires, https://www.linkedin.com/jobs/view/senior-product-designer-hybrid-at-ux-hires-3731538664?refId=Vzu5oeLmz62YjAMmu%2BWb6A%3D%3D&trackingId=tJbdocOt8xVb1Z7qfAC%2Flg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card 
Project Manager (Architectural Lighting Design), One Lux Studio LLC, https://www.linkedin.com/jobs/view/project-manager-architectural-lighting-design-at-one-lux-studio-llc-3736950464?refId=Vzu5oeLmz62YjAMmu%2BWb6A%3D%3D&trackingId=GFMLHf86HyLaCtLQ9VH0UQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card 
Lead/Senior Product Designer, Public, https://www.linkedin.com/jobs/view/lead-senior-product-designer-at-public-3731541897?refId=Vzu5oeLmz62YjAMmu%2BWb6A%3D%3D&trackingId=UruBss%2BEYDpXdWjz0OehMw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card 
Instructional Designer, NYU Langone Health, https://www.linkedin.com/jobs/view/instructional-designer-at-nyu-langone-health-3735353433?refId=Vzu5oeLmz62YjAMmu%2BWb6A%3D%3D&trackingId=m2vOJcfZm%2FhE1x2O9LSwSA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card 
Director of Global Ecommerce & Marketplace, Humanscale, https://www.linkedin.com/jobs/view/director-of-global-ecommerce-marketplace-at-humanscale-3731525311?refId=Vzu5oeLmz62YjAMmu%2BWb6A%3D%3D&trackingId=9FfLRqz5YBm8JVkdomdLNw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card 
