10/9/2023, 3:41:29 PM 
Role,Company,LinkedIn 
Actimize Developer, Synechron, https://www.linkedin.com/jobs/view/actimize-developer-at-synechron-3690491566?refId=E3lJCu%2FSzwP8FYr2VhvJ0A%3D%3D&trackingId=fpRLC2P7cARVkcRn7yRu%2Bw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Graphic Designer & Creative Strategist -(Exp.Politics/Movements), CyberCoders, https://www.linkedin.com/jobs/view/graphic-designer-creative-strategist-exp-politics-movements-at-cybercoders-3698032733?refId=E3lJCu%2FSzwP8FYr2VhvJ0A%3D%3D&trackingId=aTriHtbubOYManlhD1yZ4g%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
SVP of Finance, Jobot, https://www.linkedin.com/jobs/view/svp-of-finance-at-jobot-3734716469?refId=E3lJCu%2FSzwP8FYr2VhvJ0A%3D%3D&trackingId=YMLHXVNDRogfWBHA3O77Lg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Product Designer, Meta, https://www.linkedin.com/jobs/view/product-designer-at-meta-3725770547?refId=E3lJCu%2FSzwP8FYr2VhvJ0A%3D%3D&trackingId=oX2IqjXIQ3czuFM3hQfejA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
Accounts Receivable Specialist, GMASON GROUP, undefined 
Rail EIT*, HDR, https://www.linkedin.com/jobs/view/rail-eit-at-hdr-3736157302?refId=E3lJCu%2FSzwP8FYr2VhvJ0A%3D%3D&trackingId=CWw%2BWckcjWijaG%2BVEghgqg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card 
Packaging Designer, Fourth Floor, https://www.linkedin.com/jobs/view/packaging-designer-at-fourth-floor-3731005801?refId=E3lJCu%2FSzwP8FYr2VhvJ0A%3D%3D&trackingId=OqfGfjOt5MKhxfvhIC%2FvOw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card 
Assistant Graphic Artist (Production Art), Centric Brands, https://www.linkedin.com/jobs/view/assistant-graphic-artist-production-art-at-centric-brands-3731003274?refId=E3lJCu%2FSzwP8FYr2VhvJ0A%3D%3D&trackingId=hjl5LORwL6BKv8KpZEczlQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card 
Rail EIT*, HDR, https://www.linkedin.com/jobs/view/rail-eit-at-hdr-3736157319?refId=E3lJCu%2FSzwP8FYr2VhvJ0A%3D%3D&trackingId=nGvKz84L7h2BNE4BnTyqvA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card 
Fit Model/Product Development Assistant, American Exchange Group, https://www.linkedin.com/jobs/view/fit-model-product-development-assistant-at-american-exchange-group-3736167532?refId=E3lJCu%2FSzwP8FYr2VhvJ0A%3D%3D&trackingId=1tmKvUEw0CmKHP7ToXxVPg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Designer - Eloquii (Dresses Tops Bridal), FULLBEAUTY Brands, https://www.linkedin.com/jobs/view/senior-designer-eloquii-dresses-tops-bridal-at-fullbeauty-brands-3736191479?refId=E3lJCu%2FSzwP8FYr2VhvJ0A%3D%3D&trackingId=nrqCl2eGNJWniGxek3%2FsPw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card 
Data Architect, TEKGENCE INC, https://www.linkedin.com/jobs/view/data-architect-at-tekgence-inc-3731004187?refId=E3lJCu%2FSzwP8FYr2VhvJ0A%3D%3D&trackingId=ZcY6IGIC46dMf%2BQcUAA2BA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card 
