10/11/2023, 1:30:42 PM 
Role,Company,LinkedIn 
Product Designer, SiriusXM, https://www.linkedin.com/jobs/view/product-designer-at-siriusxm-3684008033?refId=R0D8Q5i6r4oC7Qr4KfkXiA%3D%3D&trackingId=g33AoNp2%2Fi9jtyfOgXqrdw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Print Design Manager Private Brands, Premier Brands Group Holdings, https://www.linkedin.com/jobs/view/print-design-manager-private-brands-at-premier-brands-group-holdings-3737501790?refId=R0D8Q5i6r4oC7Qr4KfkXiA%3D%3D&trackingId=mqBXNQQgQl2dpxxbdavOKA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Motion and Digital Designer, Snaplistings an Inc. 5000 Company, https://www.linkedin.com/jobs/view/motion-and-digital-designer-at-snaplistings-an-inc-5000-company-3737515718?refId=R0D8Q5i6r4oC7Qr4KfkXiA%3D%3D&trackingId=oXdW16Hh%2Fu%2FEHDNpPcTDfw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Art Director, Dotdash Meredith, https://www.linkedin.com/jobs/view/art-director-at-dotdash-meredith-3679939759?refId=R0D8Q5i6r4oC7Qr4KfkXiA%3D%3D&trackingId=RgGRL7dmojOrxVIbITfDdA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Product Designer, EvolutionIQ, https://www.linkedin.com/jobs/view/senior-product-designer-at-evolutioniq-3732043755?refId=R0D8Q5i6r4oC7Qr4KfkXiA%3D%3D&trackingId=Hykf35hBlK9S95MainTs2g%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card 
Manager FP&A, Warby Parker, https://www.linkedin.com/jobs/view/manager-fp-a-at-warby-parker-3732027841?refId=R0D8Q5i6r4oC7Qr4KfkXiA%3D%3D&trackingId=%2FzRDZvv%2BPbUhYWu9Cvl51Q%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card 
