10/9/2023, 2:00:00 PM 
Role,Company,LinkedIn 
Art Director, Recess Studios, https://www.linkedin.com/jobs/view/art-director-at-recess-studios-3734726133?refId=PnHhTRo5sTlrnRPQxK9fQA%3D%3D&trackingId=EM434EBGuRK5JxR1G%2FNyVQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Assistant Designer, Haddad Brands, https://www.linkedin.com/jobs/view/assistant-designer-at-haddad-brands-3736160382?refId=PnHhTRo5sTlrnRPQxK9fQA%3D%3D&trackingId=qjZX96Tf10KbJzt0RQXJKw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Graphic Designer, Accelerate Accessories, undefined 
Senior Designer - Eloquii (Dresses Tops Bridal), FULLBEAUTY Brands, https://www.linkedin.com/jobs/view/senior-designer-eloquii-dresses-tops-bridal-at-fullbeauty-brands-3736169621?refId=PnHhTRo5sTlrnRPQxK9fQA%3D%3D&trackingId=loO9XqMKLlgpl7gKCvlHCA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
Fit Model/Product Development Assistant, American Exchange Group, https://www.linkedin.com/jobs/view/fit-model-product-development-assistant-at-american-exchange-group-3736167532?refId=PnHhTRo5sTlrnRPQxK9fQA%3D%3D&trackingId=GRF43IKWo4rEo%2FC15FHFQA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card 
Graduate BIM Designer (Available 2024), ecocareers, https://www.linkedin.com/jobs/view/graduate-bim-designer-available-2024-at-ecocareers-3736166365?refId=PnHhTRo5sTlrnRPQxK9fQA%3D%3D&trackingId=eA%2FLhlTwkarXar7JyI3YPA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Computer Aided Design Designer, Raskin Executive Search, https://www.linkedin.com/jobs/view/senior-computer-aided-design-designer-at-raskin-executive-search-3736160510?refId=PnHhTRo5sTlrnRPQxK9fQA%3D%3D&trackingId=%2FKYLKmFHRYvcX6PnKV4RuA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card 
Rail EIT*, HDR, https://www.linkedin.com/jobs/view/rail-eit-at-hdr-3736157319?refId=PnHhTRo5sTlrnRPQxK9fQA%3D%3D&trackingId=v%2FIkIEMF7hklLy8erjpKYg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card 
Rail EIT*, HDR, https://www.linkedin.com/jobs/view/rail-eit-at-hdr-3736157302?refId=PnHhTRo5sTlrnRPQxK9fQA%3D%3D&trackingId=dy1I%2Blnc2nVc0uXJnLgT2Q%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card 
Accounts Receivable Specialist, GMASON GROUP, undefined 
SVP of Finance, Jobot, https://www.linkedin.com/jobs/view/svp-of-finance-at-jobot-3734716469?refId=PnHhTRo5sTlrnRPQxK9fQA%3D%3D&trackingId=pQpIkmemoqxuS069nyfSSQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card 
