10/6/2023, 4:00:00 PM 
Role,Company,LinkedIn 
Project Designer, Arcadis, https://www.linkedin.com/jobs/view/project-designer-at-arcadis-3735130675?refId=st7atrKtnoDsDqmEcfZTjw%3D%3D&trackingId=Ivjbi5iqI%2FS0b7AYQioMOQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
UI/UX Designer - Velocity Black (Remote Eligible), Capital One, https://www.linkedin.com/jobs/view/ui-ux-designer-velocity-black-remote-eligible-at-capital-one-3733815148?refId=st7atrKtnoDsDqmEcfZTjw%3D%3D&trackingId=emMpxUweUjqbibMvtNQQRg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
