10/10/2023, 4:11:41 PM 
Role,Company,LinkedIn 
Freelance Fashion Designer, Retrofête, https://www.linkedin.com/jobs/view/freelance-fashion-designer-at-retrof%C3%AAte-3736933341?refId=oESpVQDZL%2F2J3eME2QfPdg%3D%3D&trackingId=u9dvSQ8Wt4RRA7RNx%2FVloQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Product Designer - Monetization, Meta, https://www.linkedin.com/jobs/view/product-designer-monetization-at-meta-3725771019?refId=oESpVQDZL%2F2J3eME2QfPdg%3D%3D&trackingId=elzeF3k6T%2B%2Fh6codA9FZyA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Marketing Coordinator, The Crox Group, https://www.linkedin.com/jobs/view/marketing-coordinator-at-the-crox-group-3736931939?refId=oESpVQDZL%2F2J3eME2QfPdg%3D%3D&trackingId=OfxmaKX%2F22cQ42ChAyzkVw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
Mechanical Designer / EIT, HDR, https://www.linkedin.com/jobs/view/mechanical-designer-eit-at-hdr-3736785083?refId=oESpVQDZL%2F2J3eME2QfPdg%3D%3D&trackingId=PohPAaATOoJLitkmnFsH%2Fw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
Director of Global Ecommerce & Marketplace, Humanscale, https://www.linkedin.com/jobs/view/director-of-global-ecommerce-marketplace-at-humanscale-3731525311?refId=oESpVQDZL%2F2J3eME2QfPdg%3D%3D&trackingId=ZBBuDJukX6%2FMPHhM%2B%2FiTIg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card 
