10/6/2023, 1:47:25 PM 
Role,Company,LinkedIn 
Junior Designer, AdTheorent, https://www.linkedin.com/jobs/view/junior-designer-at-adtheorent-3735123258?refId=HFVqb4z%2BplJoGKHX9nfXbw%3D%3D&trackingId=KCwXpACqT2q2ig9IaQWOUA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Associate Designer, The Fashion Network Inc. Fashion Retail and Warehousing Executive Recruitment, https://www.linkedin.com/jobs/view/associate-designer-at-the-fashion-network-inc-fashion-retail-and-warehousing-executive-recruitment-3729726007?refId=HFVqb4z%2BplJoGKHX9nfXbw%3D%3D&trackingId=vSdBEibE4JpCSIzIWNOPoA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Graphic Designer, Robert Half, https://www.linkedin.com/jobs/view/graphic-designer-at-robert-half-3734889518?refId=HFVqb4z%2BplJoGKHX9nfXbw%3D%3D&trackingId=VAgOSVrJKlejAM%2BQ53UEVw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Project Designer, IBI Group, https://www.linkedin.com/jobs/view/project-designer-at-ibi-group-3733461491?refId=HFVqb4z%2BplJoGKHX9nfXbw%3D%3D&trackingId=ZLlQw2a0f4FZNAkYcwbHiw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
Product Designer, SiriusXM, https://www.linkedin.com/jobs/view/product-designer-at-siriusxm-3684008033?refId=HFVqb4z%2BplJoGKHX9nfXbw%3D%3D&trackingId=90W7j2RaILmAGF%2FPtp1nxQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Art Director, Science & Purpose, https://www.linkedin.com/jobs/view/senior-art-director-at-science-purpose-3719163169?refId=HFVqb4z%2BplJoGKHX9nfXbw%3D%3D&trackingId=axKqp2%2BSxJME49O4VoUeRA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card 
senior graphic apparel designer, Sweet Apparel Inc, https://www.linkedin.com/jobs/view/senior-graphic-apparel-designer-at-sweet-apparel-inc-3729701979?refId=HFVqb4z%2BplJoGKHX9nfXbw%3D%3D&trackingId=KV%2F8cSZ5%2Bq9FgobiKs0DWQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card 
Product Designer - Reality Labs, Meta, https://www.linkedin.com/jobs/view/product-designer-reality-labs-at-meta-3725768955?refId=HFVqb4z%2BplJoGKHX9nfXbw%3D%3D&trackingId=MufYeoJYLHLeg92tHpW6Fw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card 
Temp Concept Designer - Calvin Klein, Calvin Klein, https://www.linkedin.com/jobs/view/temp-concept-designer-calvin-klein-at-calvin-klein-3734886845?refId=HFVqb4z%2BplJoGKHX9nfXbw%3D%3D&trackingId=hj7UtXLXKJfS%2BYhWkm4IPg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Content Designer, Warner Music Group, https://www.linkedin.com/jobs/view/senior-content-designer-at-warner-music-group-3735102419?refId=HFVqb4z%2BplJoGKHX9nfXbw%3D%3D&trackingId=yRNQtryU%2FMDP4ceclMzrLQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card 
sleep wear designer, Sweet Apparel Inc, https://www.linkedin.com/jobs/view/sleep-wear-designer-at-sweet-apparel-inc-3729708196?refId=HFVqb4z%2BplJoGKHX9nfXbw%3D%3D&trackingId=LNcn4AjVLwDouJ%2FWIYqBTQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card 
Content Design "UX" Mindlogger - Direct Hire [Remote], Braintrust, https://www.linkedin.com/jobs/view/content-design-ux-mindlogger-direct-hire-remote-at-braintrust-3735110101?refId=HFVqb4z%2BplJoGKHX9nfXbw%3D%3D&trackingId=KRKqpxOxzN0bV9wbCu2bfA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card 
Graduate BIM Designer (Available 2024), ecocareers, https://www.linkedin.com/jobs/view/graduate-bim-designer-available-2024-at-ecocareers-3735128713?refId=HFVqb4z%2BplJoGKHX9nfXbw%3D%3D&trackingId=%2FDNG%2BiVhYbVa%2B4pDs04%2B1A%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior UX Designer, Audible, https://www.linkedin.com/jobs/view/senior-ux-designer-at-audible-3726749788?refId=HFVqb4z%2BplJoGKHX9nfXbw%3D%3D&trackingId=XzO8eVQ4FjmlsUBZCMDE%2Fg%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card 
senior denim designer, Sweet Apparel Inc, https://www.linkedin.com/jobs/view/senior-denim-designer-at-sweet-apparel-inc-3729705734?refId=HFVqb4z%2BplJoGKHX9nfXbw%3D%3D&trackingId=a3VQlSUCg0bdcAPum6xzVw%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card 
PeopleSoft Systems Analyst, Rue Gilt Groupe, https://www.linkedin.com/jobs/view/peoplesoft-systems-analyst-at-rue-gilt-groupe-3735130417?refId=HFVqb4z%2BplJoGKHX9nfXbw%3D%3D&trackingId=AdEL4UCEtIsBv3TvT6MZmA%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card 
Production Manager, Brandon Blackwood New York, https://www.linkedin.com/jobs/view/production-manager-at-brandon-blackwood-new-york-3734188990?refId=HFVqb4z%2BplJoGKHX9nfXbw%3D%3D&trackingId=JjrtTUXNjEOW54%2F1aeR8fg%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card 
Production Director, Lele Sadoughi, https://www.linkedin.com/jobs/view/production-director-at-lele-sadoughi-3729721122?refId=HFVqb4z%2BplJoGKHX9nfXbw%3D%3D&trackingId=MBrqlXJNczgrUBfU4x7tQw%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card 
Sr. Director Inventory Strategy- Outlet, Tory Burch, https://www.linkedin.com/jobs/view/sr-director-inventory-strategy-outlet-at-tory-burch-3735137650?refId=HFVqb4z%2BplJoGKHX9nfXbw%3D%3D&trackingId=YvALT8TeNhbt%2FH3R72QQ9A%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card 
Pega Architect, Dice, https://www.linkedin.com/jobs/view/pega-architect-at-dice-3728166328?refId=HFVqb4z%2BplJoGKHX9nfXbw%3D%3D&trackingId=6B2tDjTeAyh3HvFFb53z8g%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card 
Pega Developer/Architect, Dice, https://www.linkedin.com/jobs/view/pega-developer-architect-at-dice-3729493206?refId=HFVqb4z%2BplJoGKHX9nfXbw%3D%3D&trackingId=tHXqX5PXQI9gQG2qcQ%2FhxA%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card 
Actimize Developer (JC / PLANO), Dice, https://www.linkedin.com/jobs/view/actimize-developer-jc-plano-at-dice-3731117180?refId=HFVqb4z%2BplJoGKHX9nfXbw%3D%3D&trackingId=ms1%2FoQQzazoYxzaAp%2Fr8IQ%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card 
