10/5/2023, 1:05:19 PM 
Role,Company,LinkedIn 
Graphic Designer, Endeavor, https://www.linkedin.com/jobs/view/graphic-designer-at-endeavor-3733986418?refId=%2FKKtkImrTR3lWJ0x6B0ccQ%3D%3D&trackingId=mAZcUj42tFWcbx9fMLbKdw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Graphic Designer, Atlantic Group, https://www.linkedin.com/jobs/view/graphic-designer-at-atlantic-group-3730458804?refId=%2FKKtkImrTR3lWJ0x6B0ccQ%3D%3D&trackingId=FPRHIUmDPLA6hnJbpOPOCQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Designer, Deloitte, https://www.linkedin.com/jobs/view/senior-designer-at-deloitte-3729080919?refId=%2FKKtkImrTR3lWJ0x6B0ccQ%3D%3D&trackingId=dIrYt5MvSWKh1ejNQdTxgw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Designer, Deloitte, https://www.linkedin.com/jobs/view/senior-designer-at-deloitte-3729083545?refId=%2FKKtkImrTR3lWJ0x6B0ccQ%3D%3D&trackingId=t3HNnMuppA%2F9nPo%2F5IOEtg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Product Designer, Hill Holliday Health | An IPG Health Company, https://www.linkedin.com/jobs/view/senior-product-designer-at-hill-holliday-health-an-ipg-health-company-3733965785?refId=%2FKKtkImrTR3lWJ0x6B0ccQ%3D%3D&trackingId=1FPiik%2BaPPQohXkuTNagCA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
Architectural Designer, Hunter Dunning Ltd, https://www.linkedin.com/jobs/view/architectural-designer-at-hunter-dunning-ltd-3733201410?refId=%2FKKtkImrTR3lWJ0x6B0ccQ%3D%3D&trackingId=ulW0O2qrhlcDTWfQBRiknA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card 
Sr. Graphic Designer, Locality Streaming, https://www.linkedin.com/jobs/view/sr-graphic-designer-at-locality-streaming-3729085544?refId=%2FKKtkImrTR3lWJ0x6B0ccQ%3D%3D&trackingId=uCq%2FuANEsabuNkCaeM%2F8Ig%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card 
Associate Creative Director, Univision, https://www.linkedin.com/jobs/view/associate-creative-director-at-univision-3726706974?refId=%2FKKtkImrTR3lWJ0x6B0ccQ%3D%3D&trackingId=yuIsBnvHfmndtN%2F40MWS2g%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card 
Athletic Bag Designer - Reebok, Pink Rose Clothing, https://www.linkedin.com/jobs/view/athletic-bag-designer-reebok-at-pink-rose-clothing-3733973260?refId=%2FKKtkImrTR3lWJ0x6B0ccQ%3D%3D&trackingId=nbsCh%2BZ9qhBQifCbuFqREA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card 
CAD Artist, Sunrise Brands, https://www.linkedin.com/jobs/view/cad-artist-at-sunrise-brands-3734123031?refId=%2FKKtkImrTR3lWJ0x6B0ccQ%3D%3D&trackingId=N%2BOfY3E1ZwbwzZ2kNRhwAQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card 
Principal Experience Designer, Verizon, https://www.linkedin.com/jobs/view/principal-experience-designer-at-verizon-3734115041?refId=%2FKKtkImrTR3lWJ0x6B0ccQ%3D%3D&trackingId=SQKiawZp0V3mknsm7d%2B6ZQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card 
Lead Experience Designer, Verizon, https://www.linkedin.com/jobs/view/lead-experience-designer-at-verizon-3734108861?refId=%2FKKtkImrTR3lWJ0x6B0ccQ%3D%3D&trackingId=Q5XWv0l9%2FXkrLH6%2BqnOKiA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card 
Lead Experience Designer, Verizon, https://www.linkedin.com/jobs/view/lead-experience-designer-at-verizon-3734104057?refId=%2FKKtkImrTR3lWJ0x6B0ccQ%3D%3D&trackingId=V2ygqnZjuTTiuu2Glrr%2BTA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Verbal Designer, Synergy Interactive, https://www.linkedin.com/jobs/view/senior-verbal-designer-at-synergy-interactive-3713332201?refId=%2FKKtkImrTR3lWJ0x6B0ccQ%3D%3D&trackingId=a715KBugGjcFwj91a8yjgg%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card 
Associate Creative Director Retail Design, Verizon, https://www.linkedin.com/jobs/view/associate-creative-director-retail-design-at-verizon-3734115303?refId=%2FKKtkImrTR3lWJ0x6B0ccQ%3D%3D&trackingId=UgwjwAaxwtCJwh2%2F%2Fu7ZXQ%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card 
Design Manager, Malherbe New York, https://www.linkedin.com/jobs/view/design-manager-at-malherbe-new-york-3402398971?refId=%2FKKtkImrTR3lWJ0x6B0ccQ%3D%3D&trackingId=2EQ%2BAsj%2FJi7MSeyXv1dQ7w%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card 
UX Designer Advanced (>6 Years), Aston Carter, https://www.linkedin.com/jobs/view/ux-designer-advanced-6-years-at-aston-carter-3733998594?refId=%2FKKtkImrTR3lWJ0x6B0ccQ%3D%3D&trackingId=vcP7b61zTBdfWBMWWCWkgg%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Experience Specialist, Verizon, https://www.linkedin.com/jobs/view/senior-experience-specialist-at-verizon-3734114188?refId=%2FKKtkImrTR3lWJ0x6B0ccQ%3D%3D&trackingId=t06kC38khkeQegtR5r3C%2FA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Content Designer - Artificial Intelligence, Wells Fargo, https://www.linkedin.com/jobs/view/senior-content-designer-artificial-intelligence-at-wells-fargo-3720053022?refId=%2FKKtkImrTR3lWJ0x6B0ccQ%3D%3D&trackingId=c%2FyBn9ir1MOR5AeQOVEDnA%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card 
Project Lighting Designer, HDR, https://www.linkedin.com/jobs/view/project-lighting-designer-at-hdr-3734103719?refId=%2FKKtkImrTR3lWJ0x6B0ccQ%3D%3D&trackingId=6m7jTiK115JoeF37pKNLfQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card 
Director Analytics, Weber Shandwick, https://www.linkedin.com/jobs/view/director-analytics-at-weber-shandwick-3733974737?refId=%2FKKtkImrTR3lWJ0x6B0ccQ%3D%3D&trackingId=%2FH9E%2FD7m7XFFHraVCM1hmg%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card 
Actimize Developer (JC / PLANO), Dice, https://www.linkedin.com/jobs/view/actimize-developer-jc-plano-at-dice-3731117180?refId=%2FKKtkImrTR3lWJ0x6B0ccQ%3D%3D&trackingId=oHSDUTWD8AvlXXQmNRDmng%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card 
