10/4/2023, 1:23:11 PM 
Role,Company,LinkedIn 
Graphic Designer, Endeavor, https://www.linkedin.com/jobs/view/graphic-designer-at-endeavor-3733199320?refId=kf5W6AKVRVjX2R0AcZwvpQ%3D%3D&trackingId=T%2Be9hoKiwi3mKZqCTFuRRQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Graphic Designer, twelveNYC, https://www.linkedin.com/jobs/view/senior-graphic-designer-at-twelvenyc-3728478004?refId=kf5W6AKVRVjX2R0AcZwvpQ%3D%3D&trackingId=TPWWuJ00%2BS%2FDEiY9saglEA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
TCTI Graphic Designer, Pfizer, https://www.linkedin.com/jobs/view/tcti-graphic-designer-at-pfizer-3720384521?refId=kf5W6AKVRVjX2R0AcZwvpQ%3D%3D&trackingId=i2%2FS4A%2FvadMTewjA6bF90A%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Designer, the ASSURANCE group, https://www.linkedin.com/jobs/view/designer-at-the-assurance-group-3714617867?refId=kf5W6AKVRVjX2R0AcZwvpQ%3D%3D&trackingId=vGRmTvWSJ7PTmJOPNn1bcg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
Product Designer (Mailchimp), Intuit, https://www.linkedin.com/jobs/view/product-designer-mailchimp-at-intuit-3733171232?refId=kf5W6AKVRVjX2R0AcZwvpQ%3D%3D&trackingId=%2FGBrSSgOcsBThBTwKOtczg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
Graphic Designer III, Apex Systems, https://www.linkedin.com/jobs/view/graphic-designer-iii-at-apex-systems-3733165003?refId=kf5W6AKVRVjX2R0AcZwvpQ%3D%3D&trackingId=T7gkq232cLM5ffgtD97zZw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card 
Web Designer, Collibra, https://www.linkedin.com/jobs/view/web-designer-at-collibra-3707672208?refId=kf5W6AKVRVjX2R0AcZwvpQ%3D%3D&trackingId=9SDyJ2c0PxEiHerHgmQHTw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card 
Associate Creative Director, Univision, https://www.linkedin.com/jobs/view/associate-creative-director-at-univision-3726706974?refId=kf5W6AKVRVjX2R0AcZwvpQ%3D%3D&trackingId=6Iiu0KdceY7qUZqOEVqgsA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card 
Brand Designer - Senior at Dovr in New York NY, Dovr Media, undefined 
Wayfinding Design Specialist, HOK, https://www.linkedin.com/jobs/view/wayfinding-design-specialist-at-hok-3732617234?refId=kf5W6AKVRVjX2R0AcZwvpQ%3D%3D&trackingId=%2FbdqovFwI6EzzibCJguOXw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Interior Designer - Corporate Interiors, ecocareers, https://www.linkedin.com/jobs/view/senior-interior-designer-corporate-interiors-at-ecocareers-3733189655?refId=kf5W6AKVRVjX2R0AcZwvpQ%3D%3D&trackingId=LuzRt%2F7twdhuO9rDesKA9A%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Verbal Designer, Synergy Interactive, https://www.linkedin.com/jobs/view/senior-verbal-designer-at-synergy-interactive-3713332201?refId=kf5W6AKVRVjX2R0AcZwvpQ%3D%3D&trackingId=bR%2BO9kTYVVZ%2F2HQ%2BbDsUzg%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Communications Designer (Media Planning), HealixGlobal, https://www.linkedin.com/jobs/view/senior-communications-designer-media-planning-at-healixglobal-3733168676?refId=kf5W6AKVRVjX2R0AcZwvpQ%3D%3D&trackingId=Gw2ra57EfiGTzvmwDEpKgg%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card 
