10/5/2023, 4:00:18 PM 
Role,Company,LinkedIn 
Packaging Designer, Fetch for Pets, https://www.linkedin.com/jobs/view/packaging-designer-at-fetch-for-pets-3734136691?refId=1ARypzPthLkBRUbOSWqikQ%3D%3D&trackingId=YOLM6WeZH1u4zP8cHz7mFA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Graphic Designer III, Apex Systems, https://www.linkedin.com/jobs/view/graphic-designer-iii-at-apex-systems-3733165003?refId=1ARypzPthLkBRUbOSWqikQ%3D%3D&trackingId=9%2F8%2Fnrzy9Ki3ebqs2S0fYQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Design Coordinator 2, HDR, https://www.linkedin.com/jobs/view/design-coordinator-2-at-hdr-3734108250?refId=1ARypzPthLkBRUbOSWqikQ%3D%3D&trackingId=Jqz6757OJUzxek7DgZNbSg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Story Art Fellow (Jan 2024), Insider Inc., https://www.linkedin.com/jobs/view/story-art-fellow-jan-2024-at-insider-inc-3733237273?refId=1ARypzPthLkBRUbOSWqikQ%3D%3D&trackingId=ugQhQDNz091Y8sHjV9ad9w%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
Design Director, LIVWRK, undefined 
Sr. Designer - FT - Spring Street, John Varvatos, https://www.linkedin.com/jobs/view/sr-designer-ft-spring-street-at-john-varvatos-3733265200?refId=1ARypzPthLkBRUbOSWqikQ%3D%3D&trackingId=70FBO4NfesF0kdEF9Il2%2BQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card 
Director TDC, The One Club for Creativity, https://www.linkedin.com/jobs/view/director-tdc-at-the-one-club-for-creativity-3734139396?refId=1ARypzPthLkBRUbOSWqikQ%3D%3D&trackingId=xMSXnqIHYR%2Bj0oleGZhLNw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card 
Project Lighting Designer, HDR, https://www.linkedin.com/jobs/view/project-lighting-designer-at-hdr-3734103719?refId=1ARypzPthLkBRUbOSWqikQ%3D%3D&trackingId=cZ1mZ0ySzdilM0qjde4b4Q%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card 
Principal Associate - UX/UI Designer (Card & Bank), Capital One, https://www.linkedin.com/jobs/view/principal-associate-ux-ui-designer-card-bank-at-capital-one-3733252766?refId=1ARypzPthLkBRUbOSWqikQ%3D%3D&trackingId=HlrtxhCm5HLZi%2BGMGTAmxA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card 
DIRECTOR CREATIVE SYNC, Primary Wave, https://www.linkedin.com/jobs/view/director-creative-sync-at-primary-wave-3734156023?refId=1ARypzPthLkBRUbOSWqikQ%3D%3D&trackingId=ksKQ0Hzqx%2Bp1g7nORLt7Kw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card 
Production Manager - FT - Spring Street, John Varvatos, https://www.linkedin.com/jobs/view/production-manager-ft-spring-street-at-john-varvatos-3733266025?refId=1ARypzPthLkBRUbOSWqikQ%3D%3D&trackingId=qlm%2Blz5A32sez65YeB1fUQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card 
