10/10/2023, 2:40:04 PM 
Role,Company,LinkedIn 
Graphic Designer, SERHANT., https://www.linkedin.com/jobs/view/graphic-designer-at-serhant-3736917499?refId=otkJBtuRWr4SMRoAhYd3HA%3D%3D&trackingId=rLwbUXqUhLyz5NbBtdkWQQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Interaction Designer Google Cloud, Google, https://www.linkedin.com/jobs/view/interaction-designer-google-cloud-at-google-3728288078?refId=otkJBtuRWr4SMRoAhYd3HA%3D%3D&trackingId=XJmlKBP7C%2FlGGkIq1wpxjw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Designer - Baby Boy's Apparel, Fourth Floor, https://www.linkedin.com/jobs/view/designer-baby-boy-s-apparel-at-fourth-floor-3721946846?refId=otkJBtuRWr4SMRoAhYd3HA%3D%3D&trackingId=aM1K0eLXgWx09ro%2B3OT0oQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Product Designer - Monetization, Meta, https://www.linkedin.com/jobs/view/product-designer-monetization-at-meta-3725771019?refId=otkJBtuRWr4SMRoAhYd3HA%3D%3D&trackingId=S5s0DRmUMxMpIw3aGSdaCw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Art Director [72776], Onward Search, https://www.linkedin.com/jobs/view/senior-art-director-72776-at-onward-search-3736904583?refId=otkJBtuRWr4SMRoAhYd3HA%3D%3D&trackingId=kx8jjZALlIk2w3%2F7uT5sdQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card 
Director Creative & Purchasing, Groupe Clarins, https://www.linkedin.com/jobs/view/director-creative-purchasing-at-groupe-clarins-3731512700?refId=otkJBtuRWr4SMRoAhYd3HA%3D%3D&trackingId=kajpFJCscGXg0BlU63ZYfg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card 
Designer - Forensics, Thornton Tomasetti, https://www.linkedin.com/jobs/view/designer-forensics-at-thornton-tomasetti-3736789235?refId=otkJBtuRWr4SMRoAhYd3HA%3D%3D&trackingId=nJelDr7TN4%2F7LhFl6BRDag%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card 
Estimator - Construction, Gannett Fleming, https://www.linkedin.com/jobs/view/estimator-construction-at-gannett-fleming-3710151593?refId=otkJBtuRWr4SMRoAhYd3HA%3D%3D&trackingId=UPu2DteHadfXfQwMDvlooA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card 
Sr Infrastructure Architect Designer, Virtusa, https://www.linkedin.com/jobs/view/sr-infrastructure-architect-designer-at-virtusa-3735227891?refId=otkJBtuRWr4SMRoAhYd3HA%3D%3D&trackingId=kBqfECadYIa0kQK%2F%2F%2FfEiQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card 
Pega Architect, Dice, https://www.linkedin.com/jobs/view/pega-architect-at-dice-3728166328?refId=otkJBtuRWr4SMRoAhYd3HA%3D%3D&trackingId=aNKvXk1rMij1qkG0SxXeNQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card 
Pega Developer/Architect, Dice, https://www.linkedin.com/jobs/view/pega-developer-architect-at-dice-3729493206?refId=otkJBtuRWr4SMRoAhYd3HA%3D%3D&trackingId=p0wbqfMFZGPLU0XdmrK0yA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card 
