10/3/2023, 10:02:24 PM 
Role,Company,LinkedIn 
Content Designer, Meta, https://www.linkedin.com/jobs/view/content-designer-at-meta-3725829115?refId=7eCCIfdrYIwv5%2Fyv0gT%2BjA%3D%3D&trackingId=hJniamrF1RQeWhO8LSk9pQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Associate Designer (Toppers) - maurices, maurices, https://www.linkedin.com/jobs/view/associate-designer-toppers-maurices-at-maurices-3731668759?refId=7eCCIfdrYIwv5%2Fyv0gT%2BjA%3D%3D&trackingId=LobQKWNdYaDANTWqznuyUw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Product Designer - Monetization, Meta, https://www.linkedin.com/jobs/view/product-designer-monetization-at-meta-3725771018?refId=7eCCIfdrYIwv5%2Fyv0gT%2BjA%3D%3D&trackingId=etMtsW0cCx20%2FepxcHF7PA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Product Designer - Monetization, Meta, https://www.linkedin.com/jobs/view/product-designer-monetization-at-meta-3725766790?refId=7eCCIfdrYIwv5%2Fyv0gT%2BjA%3D%3D&trackingId=WN%2Bg%2FreqMuv31HmgvvO5Qg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
Dashboard Design Lead, OMD USA, https://www.linkedin.com/jobs/view/dashboard-design-lead-at-omd-usa-3732381121?refId=7eCCIfdrYIwv5%2Fyv0gT%2BjA%3D%3D&trackingId=TTp2AnSMn5Jri9mEVahRzw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
