10/4/2023, 12:00:00 PM 
Role,Company,LinkedIn 
Junior Media Designer, Ghostly International, https://www.linkedin.com/jobs/view/junior-media-designer-at-ghostly-international-3733153719?refId=%2FwXxzSwBYnldKDj%2FG%2Bs%2B3g%3D%3D&trackingId=wTfUO3Qp1eAcNHsV%2B5piqg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Designer, the ASSURANCE group, https://www.linkedin.com/jobs/view/designer-at-the-assurance-group-3714617867?refId=%2FwXxzSwBYnldKDj%2FG%2Bs%2B3g%3D%3D&trackingId=HM8yIXc2fcLhKBWCQvSLTA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Designer, Ideas On Purpose, https://www.linkedin.com/jobs/view/senior-designer-at-ideas-on-purpose-3541598655?refId=%2FwXxzSwBYnldKDj%2FG%2Bs%2B3g%3D%3D&trackingId=ipJeeqYRe8Gah%2FUuISJLYA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Art Director, Meet, https://www.linkedin.com/jobs/view/art-director-at-meet-3732283893?refId=%2FwXxzSwBYnldKDj%2FG%2Bs%2B3g%3D%3D&trackingId=fe91qBpSNLD2IrAbl5doHg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
Designer Industry Solutions Engineering, Microsoft, https://www.linkedin.com/jobs/view/designer-industry-solutions-engineering-at-microsoft-3728464359?refId=%2FwXxzSwBYnldKDj%2FG%2Bs%2B3g%3D%3D&trackingId=cioLBI9LiQGpEh7w4XYIfg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
Graphic Designer III, Apex Systems, https://www.linkedin.com/jobs/view/graphic-designer-iii-at-apex-systems-3733165003?refId=%2FwXxzSwBYnldKDj%2FG%2Bs%2B3g%3D%3D&trackingId=63KGss%2F8P184qQVgMahC9g%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card 
Designer - Home Textiles, Silk Home, undefined 
Senior Communications Designer (Media Planning), Initiative, https://www.linkedin.com/jobs/view/senior-communications-designer-media-planning-at-initiative-3733150790?refId=%2FwXxzSwBYnldKDj%2FG%2Bs%2B3g%3D%3D&trackingId=4YTQ%2FO5dnqS16h54okv%2Fhw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Communications Designer (Media Planning), HealixGlobal, https://www.linkedin.com/jobs/view/senior-communications-designer-media-planning-at-healixglobal-3733168676?refId=%2FwXxzSwBYnldKDj%2FG%2Bs%2B3g%3D%3D&trackingId=yfS5eUGjkKPfiNPhHMliBA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card 
