10/3/2023, 10:03:26 PM 
Role,Company,LinkedIn 
Dashboard Design Lead, OMD USA, https://www.linkedin.com/jobs/view/dashboard-design-lead-at-omd-usa-3732381121?refId=VnkTJQ8oDpKaTOdnkzAkUg%3D%3D&trackingId=3HrmdoK4%2FTf4FfHxyu387w%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Product Designer - Monetization, Meta, https://www.linkedin.com/jobs/view/product-designer-monetization-at-meta-3725766790?refId=VnkTJQ8oDpKaTOdnkzAkUg%3D%3D&trackingId=uFpDF%2BHaGYquPsd3FaQZrg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Content Designer, Meta, https://www.linkedin.com/jobs/view/content-designer-at-meta-3725829115?refId=VnkTJQ8oDpKaTOdnkzAkUg%3D%3D&trackingId=ADRTgFZ6xRH0VHZAYm7DTQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Product Designer - Monetization, Meta, https://www.linkedin.com/jobs/view/product-designer-monetization-at-meta-3725771018?refId=VnkTJQ8oDpKaTOdnkzAkUg%3D%3D&trackingId=ddUY7zUdKnkgxuN98S5hUw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
