10/9/2023, 8:13:12 PM 
Role,Company,LinkedIn 
Graphic Designer, Book of the Month, https://www.linkedin.com/jobs/view/graphic-designer-at-book-of-the-month-3736464173?refId=7A86eFfrj4nsYSr%2Fzj2DKA%3D%3D&trackingId=eJplnpPIcXqF9pioQVovKA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Marketing Art Director / Designer, Hinge, https://www.linkedin.com/jobs/view/marketing-art-director-designer-at-hinge-3736445164?refId=7A86eFfrj4nsYSr%2Fzj2DKA%3D%3D&trackingId=QFMLdoPYwXLpr2FfIPKLlg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Art Director PDP - Temporary - Tommy Hilfiger, Tommy Hilfiger, https://www.linkedin.com/jobs/view/art-director-pdp-temporary-tommy-hilfiger-at-tommy-hilfiger-3736438000?refId=7A86eFfrj4nsYSr%2Fzj2DKA%3D%3D&trackingId=rhM%2B1KcdY0sovyV86jEL7w%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
UI/UX Designer (Hybrid in NJ), Motion Recruitment, https://www.linkedin.com/jobs/view/ui-ux-designer-hybrid-in-nj-at-motion-recruitment-3736437009?refId=7A86eFfrj4nsYSr%2Fzj2DKA%3D%3D&trackingId=LUrHaQyWRf0k2Ltq2b8taw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior UX Writer and Content Designer Assistant, Google, https://www.linkedin.com/jobs/view/senior-ux-writer-and-content-designer-assistant-at-google-3734779601?refId=7A86eFfrj4nsYSr%2Fzj2DKA%3D%3D&trackingId=PGsSrr7vgHWRtOeAsXEjnA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
Architect - Interiors, HLW, https://www.linkedin.com/jobs/view/architect-interiors-at-hlw-3736457948?refId=7A86eFfrj4nsYSr%2Fzj2DKA%3D%3D&trackingId=MxrURL54pz8GVHFZpfRHKw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card 
Design Build Coordinator, Schiavone Construction Co. LLC, https://www.linkedin.com/jobs/view/design-build-coordinator-at-schiavone-construction-co-llc-3734775231?refId=7A86eFfrj4nsYSr%2Fzj2DKA%3D%3D&trackingId=yuuk1w0J8oaxRyu2MmCD1g%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card 
Design Build Manager, Schiavone Construction Co. LLC, https://www.linkedin.com/jobs/view/design-build-manager-at-schiavone-construction-co-llc-3734774299?refId=7A86eFfrj4nsYSr%2Fzj2DKA%3D%3D&trackingId=luVX49oaZAZfa8kpQInVCg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card 
