10/6/2023, 4:00:17 PM 
Role,Company,LinkedIn 
Project Designer, Arcadis, https://www.linkedin.com/jobs/view/project-designer-at-arcadis-3735130675?refId=10aNhZGRHBOyjl8vbHr2fg%3D%3D&trackingId=erqOOtxBCYJp77iO1zBNrA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
UI/UX Designer - Velocity Black (Remote Eligible), Capital One, https://www.linkedin.com/jobs/view/ui-ux-designer-velocity-black-remote-eligible-at-capital-one-3733815148?refId=10aNhZGRHBOyjl8vbHr2fg%3D%3D&trackingId=DewoP9lECEFL%2B3KwrT7ISQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Associate Creative Designer - Velocity Black (Remote Eligible), Capital One, https://www.linkedin.com/jobs/view/associate-creative-designer-velocity-black-remote-eligible-at-capital-one-3733812451?refId=10aNhZGRHBOyjl8vbHr2fg%3D%3D&trackingId=Z%2Ft5vcEE76SCXJQFDcoZ%2Bw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
