10/6/2023, 3:43:37 PM 
Role,Company,LinkedIn 
Associate Designer, The Fashion Network Inc. Fashion Retail and Warehousing Executive Recruitment, https://www.linkedin.com/jobs/view/associate-designer-at-the-fashion-network-inc-fashion-retail-and-warehousing-executive-recruitment-3729726007?refId=N%2BiFIyH53DjqLotDoA%2FQlA%3D%3D&trackingId=7PH5AxOlNmyaKIbjPLQY2g%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Designer, PSI (Proteam Solutions), https://www.linkedin.com/jobs/view/designer-at-psi-proteam-solutions-3735140858?refId=N%2BiFIyH53DjqLotDoA%2FQlA%3D%3D&trackingId=%2FKgQYm%2BP2f9M1Rp6EW4kUA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Product Designer - Reality Labs, Meta, https://www.linkedin.com/jobs/view/product-designer-reality-labs-at-meta-3725768955?refId=N%2BiFIyH53DjqLotDoA%2FQlA%3D%3D&trackingId=pnQgPkt%2BAeGDS7O1XXfVTw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Junior Store/Graphic Designer - Industrial Color Extended, CoCreativ, https://www.linkedin.com/jobs/view/junior-store-graphic-designer-industrial-color-extended-at-cocreativ-3735140907?refId=N%2BiFIyH53DjqLotDoA%2FQlA%3D%3D&trackingId=eCTV%2FSDlrvMQ7au1kdbzNw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
Project Designer, Arcadis, https://www.linkedin.com/jobs/view/project-designer-at-arcadis-3735130675?refId=N%2BiFIyH53DjqLotDoA%2FQlA%3D%3D&trackingId=WbGVNmXUJyh5namUKDe1KA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
UI/UX Designer - Velocity Black (Remote Eligible), Capital One, https://www.linkedin.com/jobs/view/ui-ux-designer-velocity-black-remote-eligible-at-capital-one-3733815148?refId=N%2BiFIyH53DjqLotDoA%2FQlA%3D%3D&trackingId=Kbi9D2DFGkikaYvUDH0eUw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card 
Graduate BIM Designer (Available 2024), ecocareers, https://www.linkedin.com/jobs/view/graduate-bim-designer-available-2024-at-ecocareers-3735128713?refId=N%2BiFIyH53DjqLotDoA%2FQlA%3D%3D&trackingId=LL3Zhf3Pt6lNPMeJtkNlYw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card 
PeopleSoft Systems Analyst, Rue Gilt Groupe, https://www.linkedin.com/jobs/view/peoplesoft-systems-analyst-at-rue-gilt-groupe-3735130417?refId=N%2BiFIyH53DjqLotDoA%2FQlA%3D%3D&trackingId=cLwI0ZPielS68oFUg4ADcQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card 
Production Manager, Brandon Blackwood New York, https://www.linkedin.com/jobs/view/production-manager-at-brandon-blackwood-new-york-3734188990?refId=N%2BiFIyH53DjqLotDoA%2FQlA%3D%3D&trackingId=Sr88gvd7hmpTE4kDlYonqw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card 
Sr. Director Inventory Strategy- Outlet, Tory Burch, https://www.linkedin.com/jobs/view/sr-director-inventory-strategy-outlet-at-tory-burch-3735137650?refId=N%2BiFIyH53DjqLotDoA%2FQlA%3D%3D&trackingId=DrtaVYs%2BgVGlXOVVCPj75A%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card 
