10/3/2023, 10:31:00 PM 
Role,Company,LinkedIn 
Content Designer, Meta, https://www.linkedin.com/jobs/view/content-designer-at-meta-3725829115?refId=ED3cr4R%2B3B7qNZ%2Bogi76dg%3D%3D&trackingId=lu0dMaGMbD9IxWdNJP2Iaw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Staff Motion Designer, eBay, https://www.linkedin.com/jobs/view/staff-motion-designer-at-ebay-3732393753?refId=ED3cr4R%2B3B7qNZ%2Bogi76dg%3D%3D&trackingId=ZnO4eHyRpwH4I9ZhVIkZ9g%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Product Designer - Monetization, Meta, https://www.linkedin.com/jobs/view/product-designer-monetization-at-meta-3725771018?refId=ED3cr4R%2B3B7qNZ%2Bogi76dg%3D%3D&trackingId=zu74S0f%2FnSIDwzDHveO%2BYQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
Product Designer - Monetization, Meta, https://www.linkedin.com/jobs/view/product-designer-monetization-at-meta-3725766790?refId=ED3cr4R%2B3B7qNZ%2Bogi76dg%3D%3D&trackingId=F0MUrwi3BCykuKEFFKmS0Q%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
Dashboard Design Lead, OMG23, https://www.linkedin.com/jobs/view/dashboard-design-lead-at-omg23-3731972219?refId=ED3cr4R%2B3B7qNZ%2Bogi76dg%3D%3D&trackingId=5T9S6xqnrcFovjUiB%2BxoJw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card 
Dashboard Design Lead, Hearts & Science, https://www.linkedin.com/jobs/view/dashboard-design-lead-at-hearts-science-3727786907?refId=ED3cr4R%2B3B7qNZ%2Bogi76dg%3D%3D&trackingId=SGkLbFkLRu%2BKecCGyizl2A%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card 
Dashboard Design Lead, OMD USA, https://www.linkedin.com/jobs/view/dashboard-design-lead-at-omd-usa-3732381121?refId=ED3cr4R%2B3B7qNZ%2Bogi76dg%3D%3D&trackingId=oa3tCex3ehb0MaVtNTgQ%2Fw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card 
