10/11/2023, 2:40:43 PM 
Role,Company,LinkedIn 
Print Design Manager Private Brands, Premier Brands Group Holdings, https://www.linkedin.com/jobs/view/print-design-manager-private-brands-at-premier-brands-group-holdings-3737501790?refId=yuwt75lVNlMaRd8jghpKUw%3D%3D&trackingId=SQN4THvLj%2FLrwDCBzPPcNQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Group Creative Director - Art, StrawberryFrog, https://www.linkedin.com/jobs/view/group-creative-director-art-at-strawberryfrog-3737531533?refId=yuwt75lVNlMaRd8jghpKUw%3D%3D&trackingId=cKWnj6mAt1OlWjkCAgsZSw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
CAD graphic designer, Reunited Clothing, https://www.linkedin.com/jobs/view/cad-graphic-designer-at-reunited-clothing-3737538784?refId=yuwt75lVNlMaRd8jghpKUw%3D%3D&trackingId=Pilsi4WX1anU2hIbLiU%2Fng%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Motion and Digital Designer, Snaplistings an Inc. 5000 Company, https://www.linkedin.com/jobs/view/motion-and-digital-designer-at-snaplistings-an-inc-5000-company-3737515718?refId=yuwt75lVNlMaRd8jghpKUw%3D%3D&trackingId=otzS8zfUnx2fqBg03EsmZA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
AV Design Consultant, Align, https://www.linkedin.com/jobs/view/av-design-consultant-at-align-3736042988?refId=yuwt75lVNlMaRd8jghpKUw%3D%3D&trackingId=kdL0F83cnyVcFc9va4xlfQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card 
PID Designer, STSI (Staffing Technical Services Inc.), https://www.linkedin.com/jobs/view/pid-designer-at-stsi-staffing-technical-services-inc-3732999854?refId=yuwt75lVNlMaRd8jghpKUw%3D%3D&trackingId=SdP4idECcD1ei7NBYUlgHA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Product Designer, EvolutionIQ, https://www.linkedin.com/jobs/view/senior-product-designer-at-evolutioniq-3732043755?refId=yuwt75lVNlMaRd8jghpKUw%3D%3D&trackingId=VlnwsntSRH1qrv4r8wD6nw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card 
PeopleSoft FSCM Consultant, Capleo Global, https://www.linkedin.com/jobs/view/peoplesoft-fscm-consultant-at-capleo-global-3737535492?refId=yuwt75lVNlMaRd8jghpKUw%3D%3D&trackingId=QeD%2B3GaoO5%2FItwdMemdx7Q%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card 
