10/9/2023, 10:12:41 AM 
Role,Company,LinkedIn 
Interior Designer, Hunter Dunning Ltd, https://www.linkedin.com/jobs/view/interior-designer-at-hunter-dunning-ltd-3734596015?refId=iMDSmid9nZHuSGcMhkBMEg%3D%3D&trackingId=oekqxzZKc%2FT6eZSTPk5Vjw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Architectural Designer, Hunter Dunning Ltd, https://www.linkedin.com/jobs/view/architectural-designer-at-hunter-dunning-ltd-3734594354?refId=iMDSmid9nZHuSGcMhkBMEg%3D%3D&trackingId=FRkYg5t%2BKzB3dMOcy7hxLA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Data Modeler, FITCH RATINGS LTD, https://www.linkedin.com/jobs/view/data-modeler-at-fitch-ratings-ltd-3724255035?refId=iMDSmid9nZHuSGcMhkBMEg%3D%3D&trackingId=r40MwAyrZ3TQQ3fLAfC51g%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
PEGA ARCHITECT, HexaQuEST Global, https://www.linkedin.com/jobs/view/pega-architect-at-hexaquest-global-3730576739?refId=iMDSmid9nZHuSGcMhkBMEg%3D%3D&trackingId=kGV08UsqzKoTyXxve7nDoA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
Staff Accountant, Qcells North America, https://www.linkedin.com/jobs/view/staff-accountant-at-qcells-north-america-3666084222?refId=iMDSmid9nZHuSGcMhkBMEg%3D%3D&trackingId=FK95IaBCMFg7b5X7A5Tm5A%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card 
