10/9/2023, 4:00:00 PM 
Role,Company,LinkedIn 
Assistant Graphic Artist (Production Art), Centric Brands, https://www.linkedin.com/jobs/view/assistant-graphic-artist-production-art-at-centric-brands-3731003274?refId=xXd6xMtqqxrzzC6fF9txFA%3D%3D&trackingId=jM3zRBoIAtQPGfXYUG70bg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Product Designer, Meta, https://www.linkedin.com/jobs/view/product-designer-at-meta-3725770547?refId=xXd6xMtqqxrzzC6fF9txFA%3D%3D&trackingId=6P88T47r89MlLRS9yL7lVw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Packaging Designer, Fourth Floor, https://www.linkedin.com/jobs/view/packaging-designer-at-fourth-floor-3731005801?refId=xXd6xMtqqxrzzC6fF9txFA%3D%3D&trackingId=6dt7nVzbt32ebnNIe1FlxQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Graphic Designer & Creative Strategist -(Exp.Politics/Movements), CyberCoders, https://www.linkedin.com/jobs/view/graphic-designer-creative-strategist-exp-politics-movements-at-cybercoders-3698032733?refId=xXd6xMtqqxrzzC6fF9txFA%3D%3D&trackingId=q53uLvZmi%2BG%2B%2B4RbSmX01Q%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Designer - Eloquii (Dresses Tops Bridal), FULLBEAUTY Brands, https://www.linkedin.com/jobs/view/senior-designer-eloquii-dresses-tops-bridal-at-fullbeauty-brands-3736191479?refId=xXd6xMtqqxrzzC6fF9txFA%3D%3D&trackingId=xmO8XVQfHPyWteS3rqPtMA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
Rail EIT*, HDR, https://www.linkedin.com/jobs/view/rail-eit-at-hdr-3736157319?refId=xXd6xMtqqxrzzC6fF9txFA%3D%3D&trackingId=eC8NfGeLu1VZdM53lX685g%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card 
Rail EIT*, HDR, https://www.linkedin.com/jobs/view/rail-eit-at-hdr-3736157302?refId=xXd6xMtqqxrzzC6fF9txFA%3D%3D&trackingId=BjcffKyZiGZcHVEEy3g4WA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card 
Data Architect, TEKGENCE INC, https://www.linkedin.com/jobs/view/data-architect-at-tekgence-inc-3731004187?refId=xXd6xMtqqxrzzC6fF9txFA%3D%3D&trackingId=LG6yxf4nmZdIAAoMftQp3Q%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card 
Actimize Developer, Synechron, https://www.linkedin.com/jobs/view/actimize-developer-at-synechron-3690491566?refId=xXd6xMtqqxrzzC6fF9txFA%3D%3D&trackingId=F6jZUKN2jSeHSjR0f9PC%2FA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card 
