10/11/2023, 4:00:00 PM 
Role,Company,LinkedIn 
Group Creative Director - Art, StrawberryFrog, https://www.linkedin.com/jobs/view/group-creative-director-art-at-strawberryfrog-3737531533?refId=YewbCOtTo0avlu60POfbQA%3D%3D&trackingId=oyLGRTjMs0ogn8od0QL6Jg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
CAD graphic designer, Reunited Clothing, https://www.linkedin.com/jobs/view/cad-graphic-designer-at-reunited-clothing-3737538784?refId=YewbCOtTo0avlu60POfbQA%3D%3D&trackingId=AV%2BOCvWl1101n2qfyX8VoQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
Immediate need_Senior UX Designer, IT Engagements Inc., https://www.linkedin.com/jobs/view/immediate-need-senior-ux-designer-at-it-engagements-inc-3736055559?refId=YewbCOtTo0avlu60POfbQA%3D%3D&trackingId=23yAmP5JasfLb5t8uSl5aw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
Hybrid Role-UX Designer-NYC NY, KPG99 INC, https://www.linkedin.com/jobs/view/hybrid-role-ux-designer-nyc-ny-at-kpg99-inc-3732063505?refId=YewbCOtTo0avlu60POfbQA%3D%3D&trackingId=PkjmqaX%2FFmV%2BjKAtgEu3BA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card 
Corporate eLearning Developer (hybrid), Association of National Advertisers, https://www.linkedin.com/jobs/view/corporate-elearning-developer-hybrid-at-association-of-national-advertisers-3736078956?refId=YewbCOtTo0avlu60POfbQA%3D%3D&trackingId=l69PWTTdq65lqw%2F6pPG4ZQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card 
Project Manager, The Specialists Ltd., https://www.linkedin.com/jobs/view/project-manager-at-the-specialists-ltd-3697454708?refId=YewbCOtTo0avlu60POfbQA%3D%3D&trackingId=9nw3jB75SnkvCP%2BjZhPc4A%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card 
