10/10/2023, 12:37:06 PM 
Role,Company,LinkedIn 
Designer, ASSOULINE, https://www.linkedin.com/jobs/view/designer-at-assouline-3736595295?refId=68uYsPhZlOL6pzmgUJkAIg%3D%3D&trackingId=mSzhK4nMB05zXdOkrQanGQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Product Designer, Meta, https://www.linkedin.com/jobs/view/product-designer-at-meta-3725770547?refId=68uYsPhZlOL6pzmgUJkAIg%3D%3D&trackingId=ZaOzhrItSaifPz%2FmcueCzg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Art Director, ASSOULINE, https://www.linkedin.com/jobs/view/senior-art-director-at-assouline-3736594297?refId=68uYsPhZlOL6pzmgUJkAIg%3D%3D&trackingId=QZ%2Fsc%2F%2Bp2Gky8ciG%2B71bpw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Art Director, Chantecaille Beauté, https://www.linkedin.com/jobs/view/art-director-at-chantecaille-beaut%C3%A9-3731099389?refId=68uYsPhZlOL6pzmgUJkAIg%3D%3D&trackingId=P%2F4ExCrP1ENv7I1IqbNpoQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
Product Designer, BIOVERSE, https://www.linkedin.com/jobs/view/product-designer-at-bioverse-3736583520?refId=68uYsPhZlOL6pzmgUJkAIg%3D%3D&trackingId=k%2BCn10dSIJE0UJksNrTPyQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
Creative Design Director, Fourth Floor, https://www.linkedin.com/jobs/view/creative-design-director-at-fourth-floor-3731099492?refId=68uYsPhZlOL6pzmgUJkAIg%3D%3D&trackingId=uKjpEFMvhcK7QRceY%2F%2F75A%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card 
Architectural Designer, gpac, https://www.linkedin.com/jobs/view/architectural-designer-at-gpac-3736719623?refId=68uYsPhZlOL6pzmgUJkAIg%3D%3D&trackingId=rR7jSwm9GimVP43T%2Fu%2Bs9g%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card 
Sr. Digital Product Designer (UX/UI), S&P Global, https://www.linkedin.com/jobs/view/sr-digital-product-designer-ux-ui-at-s-p-global-3683447069?refId=68uYsPhZlOL6pzmgUJkAIg%3D%3D&trackingId=SxiNp9MJXZ5ZDeuuf1IsDA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card 
Truss Designer, gpac, https://www.linkedin.com/jobs/view/truss-designer-at-gpac-3736738119?refId=68uYsPhZlOL6pzmgUJkAIg%3D%3D&trackingId=bd9zfPoxoimOLSh1wG22ZQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card 
Truss Designer, gpac, https://www.linkedin.com/jobs/view/truss-designer-at-gpac-3736733220?refId=68uYsPhZlOL6pzmgUJkAIg%3D%3D&trackingId=gOExHWI7hGLRjIFIHEOOiQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card 
HVAC Designer, gpac, https://www.linkedin.com/jobs/view/hvac-designer-at-gpac-3736738580?refId=68uYsPhZlOL6pzmgUJkAIg%3D%3D&trackingId=tx6fWMbVOjXGqcqmaAmZ3g%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card 
Workday Integration Analyst, RSM US LLP, https://www.linkedin.com/jobs/view/workday-integration-analyst-at-rsm-us-llp-3731089840?refId=68uYsPhZlOL6pzmgUJkAIg%3D%3D&trackingId=wO6PFjUfwZBTZgg9x3R6aA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card 
