10/4/2023, 10:00:00 AM 
Role,Company,LinkedIn 
Art Director - Healthcare Advertising - NYC area, Meet, https://www.linkedin.com/jobs/view/art-director-healthcare-advertising-nyc-area-at-meet-3732268463?refId=F5%2B5x8bA4dpnyX30J0Lz%2Bg%3D%3D&trackingId=IGRBWgqdqHzNjoJs4apPCA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Data Modeler, IT Trailblazers LLC, https://www.linkedin.com/jobs/view/data-modeler-at-it-trailblazers-llc-3732257610?refId=F5%2B5x8bA4dpnyX30J0Lz%2Bg%3D%3D&trackingId=19gDB2w4DPA9MSj7MEpFqA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Data Modeler, TEKGENCE INC, https://www.linkedin.com/jobs/view/data-modeler-at-tekgence-inc-3728449536?refId=F5%2B5x8bA4dpnyX30J0Lz%2Bg%3D%3D&trackingId=jKGDVhFesfQV%2FHReDv7lyg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
Environmental Specialist Project Manager, WSP in the U.S., https://www.linkedin.com/jobs/view/environmental-specialist-project-manager-at-wsp-in-the-u-s-3700114462?refId=F5%2B5x8bA4dpnyX30J0Lz%2Bg%3D%3D&trackingId=kFT5dUdx14u%2Bf7uE0oMppA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
Architectural Business Development Leader - Asset Strategy, NELSON Worldwide, https://www.linkedin.com/jobs/view/architectural-business-development-leader-asset-strategy-at-nelson-worldwide-3701150069?refId=F5%2B5x8bA4dpnyX30J0Lz%2Bg%3D%3D&trackingId=k4vmIULUSGh9d5JPX3vBcg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card 
Global Business Development Manager - US, Otrium, https://www.linkedin.com/jobs/view/global-business-development-manager-us-at-otrium-3732796561?refId=F5%2B5x8bA4dpnyX30J0Lz%2Bg%3D%3D&trackingId=QEBkBtXjRRhmm0J1yWBPuQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card 
