10/6/2023, 10:00:17 AM 
Role,Company,LinkedIn 
UX Designer, Simons Foundation, https://www.linkedin.com/jobs/view/ux-designer-at-simons-foundation-3734858544?refId=g%2BbpnX76ME%2FwG6jQP2wtuQ%3D%3D&trackingId=k2pjaKd%2BBc3Nga6qQTpd2A%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Allocation Manager, Tory Burch, https://www.linkedin.com/jobs/view/allocation-manager-at-tory-burch-3720086271?refId=g%2BbpnX76ME%2FwG6jQP2wtuQ%3D%3D&trackingId=rZithSOjvhyVusHR2%2FSScQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
P/FP Designer, Bala Consulting Engineers, https://www.linkedin.com/jobs/view/p-fp-designer-at-bala-consulting-engineers-3570081575?refId=g%2BbpnX76ME%2FwG6jQP2wtuQ%3D%3D&trackingId=Vrclmt4YzlFjw%2FEA63pw2A%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior System Analyst, New York University, https://www.linkedin.com/jobs/view/senior-system-analyst-at-new-york-university-3734852924?refId=g%2BbpnX76ME%2FwG6jQP2wtuQ%3D%3D&trackingId=loSHQ6%2BKE765hCHQuQTJgw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
