10/4/2023, 10:16:12 AM 
Role,Company,LinkedIn 
Art Director - Healthcare Advertising - NYC area, Meet, https://www.linkedin.com/jobs/view/art-director-healthcare-advertising-nyc-area-at-meet-3732268463?refId=DjtsKnByH%2FQtBhdzlP2QJQ%3D%3D&trackingId=66R1GgvVFVLyaN2sUovEwQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Data Modeler, TEKGENCE INC, https://www.linkedin.com/jobs/view/data-modeler-at-tekgence-inc-3728449536?refId=DjtsKnByH%2FQtBhdzlP2QJQ%3D%3D&trackingId=JWI8Ijjz4wB4FlMuczkUpg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Retail Store Design Manager, Ascend Wellness Holdings (CSE: AAWH.U / OTCQX:AAWH), https://www.linkedin.com/jobs/view/retail-store-design-manager-at-ascend-wellness-holdings-cse-aawh-u-otcqx-aawh-3719229255?refId=DjtsKnByH%2FQtBhdzlP2QJQ%3D%3D&trackingId=ACTPaZ%2FS5FKwFlGHY36wQQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Data Modeler, IT Trailblazers LLC, https://www.linkedin.com/jobs/view/data-modeler-at-it-trailblazers-llc-3732257610?refId=DjtsKnByH%2FQtBhdzlP2QJQ%3D%3D&trackingId=jnzKBf%2FjAY9b5m17%2FBGFzA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
Environmental Specialist Project Manager, WSP in the U.S., https://www.linkedin.com/jobs/view/environmental-specialist-project-manager-at-wsp-in-the-u-s-3700114462?refId=DjtsKnByH%2FQtBhdzlP2QJQ%3D%3D&trackingId=aei1HoDWFrmkqATvrJURvg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
Architectural Business Development Leader - Asset Strategy, NELSON Worldwide, https://www.linkedin.com/jobs/view/architectural-business-development-leader-asset-strategy-at-nelson-worldwide-3701150069?refId=DjtsKnByH%2FQtBhdzlP2QJQ%3D%3D&trackingId=nYCbmdIhWO4UTorb9ipCag%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card 
Global Business Development Manager - US, Otrium, https://www.linkedin.com/jobs/view/global-business-development-manager-us-at-otrium-3732796561?refId=DjtsKnByH%2FQtBhdzlP2QJQ%3D%3D&trackingId=yaGgZVXoK1imKAFWELRZIg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card 
