10/9/2023, 6:15:27 PM 
Role,Company,LinkedIn 
Graphic Designer, AMOREPACIFIC, https://www.linkedin.com/jobs/view/graphic-designer-at-amorepacific-3731015572?refId=VrsYZsk8oq2OpZLiaI7HFg%3D%3D&trackingId=uM2inwj0AdUOu%2B3UDnHNkw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Associate Designer, SBH Fashion, https://www.linkedin.com/jobs/view/associate-designer-at-sbh-fashion-3731009790?refId=VrsYZsk8oq2OpZLiaI7HFg%3D%3D&trackingId=RQkR1zyTbYWo8yIoXgSAog%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Graphic Designer, Noor Staffing Group, https://www.linkedin.com/jobs/view/graphic-designer-at-noor-staffing-group-3731023043?refId=VrsYZsk8oq2OpZLiaI7HFg%3D%3D&trackingId=%2BXGjE9aq7w%2BSbzFQ%2FnPSvA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Marketing Art Director / Designer, Hinge, https://www.linkedin.com/jobs/view/marketing-art-director-designer-at-hinge-3736445164?refId=VrsYZsk8oq2OpZLiaI7HFg%3D%3D&trackingId=xP3p%2B1qq3uWFdTy9VQIONg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
Assistant Graphic Artist (Production Art), Centric Brands, https://www.linkedin.com/jobs/view/assistant-graphic-artist-production-art-at-centric-brands-3734770181?refId=VrsYZsk8oq2OpZLiaI7HFg%3D%3D&trackingId=ihSUfsdVY91RHndRalTmUQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
Art Director PDP - Temporary - Tommy Hilfiger, Tommy Hilfiger, https://www.linkedin.com/jobs/view/art-director-pdp-temporary-tommy-hilfiger-at-tommy-hilfiger-3736438000?refId=VrsYZsk8oq2OpZLiaI7HFg%3D%3D&trackingId=6XVLAuuo6A%2FzDABPG262qQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card 
Graphic Designer, Atlantic Group, https://www.linkedin.com/jobs/view/graphic-designer-at-atlantic-group-3736433795?refId=VrsYZsk8oq2OpZLiaI7HFg%3D%3D&trackingId=OBMPtL9JG55vGoyjD7%2Fh0A%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Designer (All Categories), NYC Alliance, https://www.linkedin.com/jobs/view/senior-designer-all-categories-at-nyc-alliance-3736425823?refId=VrsYZsk8oq2OpZLiaI7HFg%3D%3D&trackingId=k8tgNzXwX%2BNCd1pSpOiO8A%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card 
Marketing Coordinator Assistant, French Connection Staffing LLC, https://www.linkedin.com/jobs/view/marketing-coordinator-assistant-at-french-connection-staffing-llc-3736423407?refId=VrsYZsk8oq2OpZLiaI7HFg%3D%3D&trackingId=gLg5IlN%2F73Fb8quLAdKviw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card 
Staff Product Designer Brokerage, Robinhood, https://www.linkedin.com/jobs/view/staff-product-designer-brokerage-at-robinhood-3734758344?refId=VrsYZsk8oq2OpZLiaI7HFg%3D%3D&trackingId=8G4ILcAC%2BtRkloJEPK6nwg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card 
Sr Product Designer Growth, Robinhood, https://www.linkedin.com/jobs/view/sr-product-designer-growth-at-robinhood-3734757561?refId=VrsYZsk8oq2OpZLiaI7HFg%3D%3D&trackingId=D%2FqME1XG2KzcubU%2F2I1WRQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card 
Sr Content Designer Equities, Robinhood, https://www.linkedin.com/jobs/view/sr-content-designer-equities-at-robinhood-3734756799?refId=VrsYZsk8oq2OpZLiaI7HFg%3D%3D&trackingId=zWUOabqHB2XgqyFzTDoMhg%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Product Designer, SiriusXM, https://www.linkedin.com/jobs/view/senior-product-designer-at-siriusxm-3684001952?refId=VrsYZsk8oq2OpZLiaI7HFg%3D%3D&trackingId=Hp9sz5N%2Buq%2FO2g8UKST1zA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card 
Sr Product Designer Brokerage, Robinhood, https://www.linkedin.com/jobs/view/sr-product-designer-brokerage-at-robinhood-3734754969?refId=VrsYZsk8oq2OpZLiaI7HFg%3D%3D&trackingId=%2FsFuWeUJ5iHiA5zidLRUDw%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card 
Design Build Coordinator, Schiavone Construction Co. LLC, https://www.linkedin.com/jobs/view/design-build-coordinator-at-schiavone-construction-co-llc-3734775231?refId=VrsYZsk8oq2OpZLiaI7HFg%3D%3D&trackingId=s650X8smjCz2WhPWyn71Dw%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card 
Manager Technology Communications & Design, American Express, https://www.linkedin.com/jobs/view/manager-technology-communications-design-at-american-express-3731020252?refId=VrsYZsk8oq2OpZLiaI7HFg%3D%3D&trackingId=gM5bWPiD83bKLhz4JdbWow%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card 
