10/10/2023, 4:00:00 PM 
Role,Company,LinkedIn 
Graphic Designer, SERHANT., https://www.linkedin.com/jobs/view/graphic-designer-at-serhant-3736917499?refId=6kgO48TIniKPpDp8LrN9JQ%3D%3D&trackingId=MtiH%2F9A4ivgkvvxNmQxeCw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Freelance Fashion Designer, Retrofête, https://www.linkedin.com/jobs/view/freelance-fashion-designer-at-retrof%C3%AAte-3736933341?refId=6kgO48TIniKPpDp8LrN9JQ%3D%3D&trackingId=XLMAJPmn2yEfxECGxOZNbg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Product Designer - Monetization, Meta, https://www.linkedin.com/jobs/view/product-designer-monetization-at-meta-3725771019?refId=6kgO48TIniKPpDp8LrN9JQ%3D%3D&trackingId=BaaNJz%2B6riGVwsr8vaw7CA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Marketing Coordinator, The Crox Group, https://www.linkedin.com/jobs/view/marketing-coordinator-at-the-crox-group-3736931939?refId=6kgO48TIniKPpDp8LrN9JQ%3D%3D&trackingId=BSZ3L8RTSC4rUn%2FnZCZmOA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
Mechanical Designer / EIT, HDR, https://www.linkedin.com/jobs/view/mechanical-designer-eit-at-hdr-3736785083?refId=6kgO48TIniKPpDp8LrN9JQ%3D%3D&trackingId=WDFWPThWkhD3ohDfdzfx2A%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card 
Director of Global Ecommerce & Marketplace, Humanscale, https://www.linkedin.com/jobs/view/director-of-global-ecommerce-marketplace-at-humanscale-3731525311?refId=6kgO48TIniKPpDp8LrN9JQ%3D%3D&trackingId=cYD94w3d25BgmTuHqMjaCw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card 
