10/11/2023, 2:00:00 PM 
Role,Company,LinkedIn 
Print Design Manager Private Brands, Premier Brands Group Holdings, https://www.linkedin.com/jobs/view/print-design-manager-private-brands-at-premier-brands-group-holdings-3737501790?refId=x04UI%2FETtwZLOWdXk9QwAg%3D%3D&trackingId=zvu4spLsuGxw1%2FvzIXMEqg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Motion and Digital Designer, Snaplistings an Inc. 5000 Company, https://www.linkedin.com/jobs/view/motion-and-digital-designer-at-snaplistings-an-inc-5000-company-3737515718?refId=x04UI%2FETtwZLOWdXk9QwAg%3D%3D&trackingId=6Lm7ArXZRSY07Md3OeErzQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
PID Designer, STSI (Staffing Technical Services Inc.), https://www.linkedin.com/jobs/view/pid-designer-at-stsi-staffing-technical-services-inc-3732999854?refId=x04UI%2FETtwZLOWdXk9QwAg%3D%3D&trackingId=0is%2FxfeShDyktjRuJlJEoA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Product Designer, EvolutionIQ, https://www.linkedin.com/jobs/view/senior-product-designer-at-evolutioniq-3732043755?refId=x04UI%2FETtwZLOWdXk9QwAg%3D%3D&trackingId=cb9JSGx73TdXq9c%2BhH9Sng%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card 
