10/10/2023, 6:00:00 PM 
Role,Company,LinkedIn 
Associate Designer, SBH Fashion, https://www.linkedin.com/jobs/view/associate-designer-at-sbh-fashion-3696090238?refId=BPkjPceELSteIy4%2Fx0ye4g%3D%3D&trackingId=tkGTgJFISZ4vVkBYOh1FQw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Graphic Designer, JBC, https://www.linkedin.com/jobs/view/graphic-designer-at-jbc-3735355983?refId=BPkjPceELSteIy4%2Fx0ye4g%3D%3D&trackingId=AOiMiIlI720QjwJx5xS0jA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Graphic Design Specialist (Onsite), Cella, https://www.linkedin.com/jobs/view/graphic-design-specialist-onsite-at-cella-3735354637?refId=BPkjPceELSteIy4%2Fx0ye4g%3D%3D&trackingId=oZeGbXmWrBndRctZzhUrLQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Assistant Designer (Design Ops), Centric Brands, https://www.linkedin.com/jobs/view/assistant-designer-design-ops-at-centric-brands-3735353878?refId=BPkjPceELSteIy4%2Fx0ye4g%3D%3D&trackingId=hg%2BFX%2BlWKiKHfZT0RMkGJA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Art Director, Coinbase, https://www.linkedin.com/jobs/view/senior-art-director-at-coinbase-3731531669?refId=BPkjPceELSteIy4%2Fx0ye4g%3D%3D&trackingId=UYoCPxnyuB1QXkZ6RFtX4w%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Product Designer - Hybrid, UX Hires, https://www.linkedin.com/jobs/view/senior-product-designer-hybrid-at-ux-hires-3731538664?refId=BPkjPceELSteIy4%2Fx0ye4g%3D%3D&trackingId=yLXFVsEKnV0S6OWH4pv4Jw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card 
Instructional Designer, NYU Langone Health, https://www.linkedin.com/jobs/view/instructional-designer-at-nyu-langone-health-3735353433?refId=BPkjPceELSteIy4%2Fx0ye4g%3D%3D&trackingId=FJNCmJBGcduH5gzUSEs99A%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card 
Project Manager (Architectural Lighting Design), One Lux Studio LLC, https://www.linkedin.com/jobs/view/project-manager-architectural-lighting-design-at-one-lux-studio-llc-3736950464?refId=BPkjPceELSteIy4%2Fx0ye4g%3D%3D&trackingId=AGxOiJ6LICDB4MW6%2BwHgqg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card 
Lead/Senior Product Designer, Public, https://www.linkedin.com/jobs/view/lead-senior-product-designer-at-public-3731541897?refId=BPkjPceELSteIy4%2Fx0ye4g%3D%3D&trackingId=JhGBe1qfHNWr5TW9Fpbbiw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card 
Director Creative Strategy, Sunshine Sachs Morgan & Lylis, https://www.linkedin.com/jobs/view/director-creative-strategy-at-sunshine-sachs-morgan-lylis-3731539520?refId=BPkjPceELSteIy4%2Fx0ye4g%3D%3D&trackingId=yjrK3OlJAhYBgCkad%2Be4Ww%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card 
