10/10/2023, 10:26:37 AM 
Role,Company,LinkedIn 
Designer, ASSOULINE, https://www.linkedin.com/jobs/view/designer-at-assouline-3736595295?refId=zwIx3OwvBXqH51FCH8hbew%3D%3D&trackingId=5Dr8M4xKdQqhch4dCtp6qQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Architectural Designer, Pave Talent, https://www.linkedin.com/jobs/view/architectural-designer-at-pave-talent-3735078814?refId=zwIx3OwvBXqH51FCH8hbew%3D%3D&trackingId=sjUN76XSFexjGpiIZsdHlQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
UX/Visual Designer II, Dice, https://www.linkedin.com/jobs/view/ux-visual-designer-ii-at-dice-3730754688?refId=zwIx3OwvBXqH51FCH8hbew%3D%3D&trackingId=sMUqp7C2vVEFqM67F3QS%2Bw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Product Design Manager, Get It Recruit - Transportation, https://www.linkedin.com/jobs/view/senior-product-design-manager-at-get-it-recruit-transportation-3731084865?refId=zwIx3OwvBXqH51FCH8hbew%3D%3D&trackingId=3v3keMoAtrfSXHYFZxdSdA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
