10/5/2023, 10:05:13 AM 
Role,Company,LinkedIn 
Graphic Designer, Helix Tech-IT Solutions, https://www.linkedin.com/jobs/view/graphic-designer-at-helix-tech-it-solutions-3732889499?refId=GA%2FAIHpa3R1iyNUIRKKfdQ%3D%3D&trackingId=23h%2FeazSBZwax95KPaG6wQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Product Designer - Remote | WFH, Get It Recruit - Professional Services, https://www.linkedin.com/jobs/view/senior-product-designer-remote-wfh-at-get-it-recruit-professional-services-3729073499?refId=GA%2FAIHpa3R1iyNUIRKKfdQ%3D%3D&trackingId=yWL9vUe%2FxpaekqrPA7nWUA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Creative Director, Situation, https://www.linkedin.com/jobs/view/creative-director-at-situation-3733950098?refId=GA%2FAIHpa3R1iyNUIRKKfdQ%3D%3D&trackingId=58thURqkWLZc3I64Z3KVAA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Principle Product Designer, Houston Chronicle, https://www.linkedin.com/jobs/view/principle-product-designer-at-houston-chronicle-3716054678?refId=GA%2FAIHpa3R1iyNUIRKKfdQ%3D%3D&trackingId=Rmbw5EycvCSx59r3bLOpHg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
Interior Superintendent, Tower Holdings Group, https://www.linkedin.com/jobs/view/interior-superintendent-at-tower-holdings-group-3733925332?refId=GA%2FAIHpa3R1iyNUIRKKfdQ%3D%3D&trackingId=I%2B19%2BNW%2BHk7OVaHtia8ZJA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card 
