10/6/2023, 2:00:00 PM 
Role,Company,LinkedIn 
Junior Designer, AdTheorent, https://www.linkedin.com/jobs/view/junior-designer-at-adtheorent-3735123258?refId=uba1yLTvqriKpX1G6fEapg%3D%3D&trackingId=rHUGSxav%2F7e4fiVTBU9Z2Q%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Associate Designer, The Fashion Network Inc. Fashion Retail and Warehousing Executive Recruitment, https://www.linkedin.com/jobs/view/associate-designer-at-the-fashion-network-inc-fashion-retail-and-warehousing-executive-recruitment-3729726007?refId=uba1yLTvqriKpX1G6fEapg%3D%3D&trackingId=7Whwj17Lq5VxPlJ1jiF5xg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Product Designer - Reality Labs, Meta, https://www.linkedin.com/jobs/view/product-designer-reality-labs-at-meta-3725768955?refId=uba1yLTvqriKpX1G6fEapg%3D%3D&trackingId=abm6m%2FKfpiQ%2Fk9%2FgcbD4CA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Content Designer, Warner Music Group, https://www.linkedin.com/jobs/view/senior-content-designer-at-warner-music-group-3735102419?refId=uba1yLTvqriKpX1G6fEapg%3D%3D&trackingId=IaiO5YVaZQ9xNMagqghWiw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
Content Design "UX" Mindlogger - Direct Hire [Remote], Braintrust, https://www.linkedin.com/jobs/view/content-design-ux-mindlogger-direct-hire-remote-at-braintrust-3735110101?refId=uba1yLTvqriKpX1G6fEapg%3D%3D&trackingId=VfM0V0ZOUOsfe3uyRYCvcQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
Graduate BIM Designer (Available 2024), ecocareers, https://www.linkedin.com/jobs/view/graduate-bim-designer-available-2024-at-ecocareers-3735128713?refId=uba1yLTvqriKpX1G6fEapg%3D%3D&trackingId=YmyGlcN1RXabFONXEmGjGA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior UX Designer, Audible, https://www.linkedin.com/jobs/view/senior-ux-designer-at-audible-3726749788?refId=uba1yLTvqriKpX1G6fEapg%3D%3D&trackingId=NS4JIHatrQTNXlZyokAXzw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card 
PeopleSoft Systems Analyst, Rue Gilt Groupe, https://www.linkedin.com/jobs/view/peoplesoft-systems-analyst-at-rue-gilt-groupe-3735130417?refId=uba1yLTvqriKpX1G6fEapg%3D%3D&trackingId=nrcRklVNqSWFVbphLOfizw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card 
Production Director, Lele Sadoughi, https://www.linkedin.com/jobs/view/production-director-at-lele-sadoughi-3729721122?refId=uba1yLTvqriKpX1G6fEapg%3D%3D&trackingId=SWz1COuxVrFUHaqRaeYUpA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card 
Design Intern - Favorite Daughter, Centric Brands, https://www.linkedin.com/jobs/view/design-intern-favorite-daughter-at-centric-brands-3729721256?refId=uba1yLTvqriKpX1G6fEapg%3D%3D&trackingId=7DSTZ%2FSyxUMhTlZbS3cL4Q%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card 
