10/3/2023, 9:43:14 PM 
Role,Company,LinkedIn 
Graphic Designer & Creative Strategist -(Exp.Politics/Movements), CyberCoders, https://www.linkedin.com/jobs/view/graphic-designer-creative-strategist-exp-politics-movements-at-cybercoders-3698032733?refId=HYJjKD8%2BoDK83EyzET4bjw%3D%3D&trackingId=xLS0I6Ks5vQDa8rprldtvA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Graduate Experience Designer (Available 2024), Arup, https://www.linkedin.com/jobs/view/graduate-experience-designer-available-2024-at-arup-3731951215?refId=HYJjKD8%2BoDK83EyzET4bjw%3D%3D&trackingId=OvAQSR4V8LTgAOSEYkn%2BmQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Dashboard Design Lead, OMD USA, https://www.linkedin.com/jobs/view/dashboard-design-lead-at-omd-usa-3732381121?refId=HYJjKD8%2BoDK83EyzET4bjw%3D%3D&trackingId=FEKK6c0i3f9Qw5GDtX0QJQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Product Designer Core Dasher Experience, DoorDash, https://www.linkedin.com/jobs/view/senior-product-designer-core-dasher-experience-at-doordash-3732386033?refId=HYJjKD8%2BoDK83EyzET4bjw%3D%3D&trackingId=Eb%2BpqvDEpPuJg1WijR2wtQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
Product Designer - Monetization, Meta, https://www.linkedin.com/jobs/view/product-designer-monetization-at-meta-3725766790?refId=HYJjKD8%2BoDK83EyzET4bjw%3D%3D&trackingId=Kp76Djcsu88%2FsrsBbYmkqg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
Engineering Design Professional - Structural, HOK, https://www.linkedin.com/jobs/view/engineering-design-professional-structural-at-hok-3731945770?refId=HYJjKD8%2BoDK83EyzET4bjw%3D%3D&trackingId=65pQ9fRGA1VzJ%2FhHr9e8iQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card 
Content Designer, Meta, https://www.linkedin.com/jobs/view/content-designer-at-meta-3725829115?refId=HYJjKD8%2BoDK83EyzET4bjw%3D%3D&trackingId=anRmH0aX6FR%2FD7br9aNKXA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card 
Product Designer - Monetization, Meta, https://www.linkedin.com/jobs/view/product-designer-monetization-at-meta-3725771018?refId=HYJjKD8%2BoDK83EyzET4bjw%3D%3D&trackingId=3QKViS9YhIc0%2Fd4rtZWLTQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card 
Associate Designer (Toppers) - maurices, maurices, https://www.linkedin.com/jobs/view/associate-designer-toppers-maurices-at-maurices-3731668759?refId=HYJjKD8%2BoDK83EyzET4bjw%3D%3D&trackingId=PFmGyWAWKJpFB7g%2BLjZIxw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card 
