10/6/2023, 10:00:00 AM 
Role,Company,LinkedIn 
UX Designer, Simons Foundation, https://www.linkedin.com/jobs/view/ux-designer-at-simons-foundation-3734858544?refId=aMB3XGtviEJNOQEPyZMXOQ%3D%3D&trackingId=ArLETIcIztvgiyySCiStDQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
P/FP Designer, Bala Consulting Engineers, https://www.linkedin.com/jobs/view/p-fp-designer-at-bala-consulting-engineers-3570081575?refId=aMB3XGtviEJNOQEPyZMXOQ%3D%3D&trackingId=ciUxBYMDFSfalKLlhd7Zig%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior System Analyst, New York University, https://www.linkedin.com/jobs/view/senior-system-analyst-at-new-york-university-3734852924?refId=aMB3XGtviEJNOQEPyZMXOQ%3D%3D&trackingId=zK03EQ0iG1vZtfVSi15HGQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
