10/9/2023, 10:16:43 PM 
Role,Company,LinkedIn 
Sr. Brand Event Designer / Sr Art Director, Onward Search, https://www.linkedin.com/jobs/view/sr-brand-event-designer-sr-art-director-at-onward-search-3734796075?refId=uanLDnQPka6Uu7d73Sz8gw%3D%3D&trackingId=2v7c9Ggv2fVV8RlzkwlLNA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Digital Content Designer / Graphic Designer - Freelance [Remote], Braintrust, https://www.linkedin.com/jobs/view/digital-content-designer-graphic-designer-freelance-remote-at-braintrust-3736476307?refId=uanLDnQPka6Uu7d73Sz8gw%3D%3D&trackingId=lvDGetwqomzFdQOsGjfUVQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Sr. UX Writer [Remote], Braintrust, https://www.linkedin.com/jobs/view/sr-ux-writer-remote-at-braintrust-3736474231?refId=uanLDnQPka6Uu7d73Sz8gw%3D%3D&trackingId=c%2FyY8RxkFfpGNPH%2BozuJUg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Accountant Global Lease Accounting, Tory Burch, https://www.linkedin.com/jobs/view/senior-accountant-global-lease-accounting-at-tory-burch-3733586824?refId=uanLDnQPka6Uu7d73Sz8gw%3D%3D&trackingId=%2FOdpLeRN3WLhiUhZtwzf2w%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
