10/6/2023, 4:01:35 PM 
Role,Company,LinkedIn 
Project Designer, Arcadis, https://www.linkedin.com/jobs/view/project-designer-at-arcadis-3735130675?refId=lTspwwp3qbP%2F%2F3eA6auX8g%3D%3D&trackingId=QYxWz8YQlomQmVxImU3o2g%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
UI/UX Designer - Velocity Black (Remote Eligible), Capital One, https://www.linkedin.com/jobs/view/ui-ux-designer-velocity-black-remote-eligible-at-capital-one-3733815148?refId=lTspwwp3qbP%2F%2F3eA6auX8g%3D%3D&trackingId=TsBZT8xBGr52%2FU%2FzFiMlxA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
