10/9/2023, 4:12:26 PM 
Role,Company,LinkedIn 
Assistant Graphic Artist (Production Art), Centric Brands, https://www.linkedin.com/jobs/view/assistant-graphic-artist-production-art-at-centric-brands-3731003274?refId=A4I%2BtFKChifH%2FI0O2cof0A%3D%3D&trackingId=kcxGRs7%2B7R6Kz4Mawr0RSQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Packaging Designer, Fourth Floor, https://www.linkedin.com/jobs/view/packaging-designer-at-fourth-floor-3731005801?refId=A4I%2BtFKChifH%2FI0O2cof0A%3D%3D&trackingId=QzovDkUHXhZB6qlscHoApg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Graphic Designer & Creative Strategist -(Exp.Politics/Movements), CyberCoders, https://www.linkedin.com/jobs/view/graphic-designer-creative-strategist-exp-politics-movements-at-cybercoders-3698032733?refId=A4I%2BtFKChifH%2FI0O2cof0A%3D%3D&trackingId=GEPHIWHGE4FCHCGrBEExow%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Designer - Eloquii (Dresses Tops Bridal), FULLBEAUTY Brands, https://www.linkedin.com/jobs/view/senior-designer-eloquii-dresses-tops-bridal-at-fullbeauty-brands-3736191479?refId=A4I%2BtFKChifH%2FI0O2cof0A%3D%3D&trackingId=aXDqqEGTr9PCVyLpZT6eVQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
Data Architect, TEKGENCE INC, https://www.linkedin.com/jobs/view/data-architect-at-tekgence-inc-3731004187?refId=A4I%2BtFKChifH%2FI0O2cof0A%3D%3D&trackingId=bJKiXKGnNXvdnV%2F5A93%2FvQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
Actimize Developer, Synechron, https://www.linkedin.com/jobs/view/actimize-developer-at-synechron-3690491566?refId=A4I%2BtFKChifH%2FI0O2cof0A%3D%3D&trackingId=BDhhqxjy5orJVKEr5vDHzA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card 
Rail EIT*, HDR, https://www.linkedin.com/jobs/view/rail-eit-at-hdr-3736157319?refId=A4I%2BtFKChifH%2FI0O2cof0A%3D%3D&trackingId=DW4wJEiRsEvSrw4bzU%2Fhag%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card 
Rail EIT*, HDR, https://www.linkedin.com/jobs/view/rail-eit-at-hdr-3736157302?refId=A4I%2BtFKChifH%2FI0O2cof0A%3D%3D&trackingId=FWNEdum%2FzD%2BnGxwkhIELjw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card 
