10/3/2023, 10:03:18 PM 
Role,Company,LinkedIn 
Content Designer, Meta, https://www.linkedin.com/jobs/view/content-designer-at-meta-3725829115?refId=ZxX83BJmgL7gh9kEOrjJyw%3D%3D&trackingId=t06pSjXkeRpdgZcsj6hyDQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Product Designer - Monetization, Meta, https://www.linkedin.com/jobs/view/product-designer-monetization-at-meta-3725771018?refId=ZxX83BJmgL7gh9kEOrjJyw%3D%3D&trackingId=koic%2FK%2FjEXRD3P%2BhFkSClw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Product Designer - Monetization, Meta, https://www.linkedin.com/jobs/view/product-designer-monetization-at-meta-3725766790?refId=ZxX83BJmgL7gh9kEOrjJyw%3D%3D&trackingId=fI52xE0eZAnTAvvH2d3gHA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
Dashboard Design Lead, OMD USA, https://www.linkedin.com/jobs/view/dashboard-design-lead-at-omd-usa-3732381121?refId=ZxX83BJmgL7gh9kEOrjJyw%3D%3D&trackingId=FZJCJJ%2B066mZMUdPPdDojA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
