10/4/2023, 9:06:12 AM 
Role,Company,LinkedIn 
Content Designer, Meta, https://www.linkedin.com/jobs/view/content-designer-at-meta-3725829115?refId=CnycumITDgNGhJ5Z9tXw%2FA%3D%3D&trackingId=Mjfq72qiMmntgLQpTUwu2g%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Art Director - Healthcare Advertising - NYC area, Meet, https://www.linkedin.com/jobs/view/art-director-healthcare-advertising-nyc-area-at-meet-3732268463?refId=CnycumITDgNGhJ5Z9tXw%2FA%3D%3D&trackingId=D8taKtyfoIsOz18WRlzIzQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Retail Store Design Manager, Ascend Wellness Holdings (CSE: AAWH.U / OTCQX:AAWH), https://www.linkedin.com/jobs/view/retail-store-design-manager-at-ascend-wellness-holdings-cse-aawh-u-otcqx-aawh-3719229255?refId=CnycumITDgNGhJ5Z9tXw%2FA%3D%3D&trackingId=qkJjFrrruh%2FnxrAXbyaXVw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Data Modeler, IT Trailblazers LLC, https://www.linkedin.com/jobs/view/data-modeler-at-it-trailblazers-llc-3732257610?refId=CnycumITDgNGhJ5Z9tXw%2FA%3D%3D&trackingId=cqmzfyMsVobCWCWrtO8C8Q%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior UX Designer, Patients & Purpose, https://www.linkedin.com/jobs/view/senior-ux-designer-at-patients-purpose-3660091274?refId=CnycumITDgNGhJ5Z9tXw%2FA%3D%3D&trackingId=TvbETtmYB8uNYzBtIyreqQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
Environmental Specialist Project Manager, WSP in the U.S., https://www.linkedin.com/jobs/view/environmental-specialist-project-manager-at-wsp-in-the-u-s-3700114462?refId=CnycumITDgNGhJ5Z9tXw%2FA%3D%3D&trackingId=jLd%2FUuu7uSDACGXaDN%2B1%2Fw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Mechanical Engineer, PowerCon Associates L.L.C., https://www.linkedin.com/jobs/view/senior-mechanical-engineer-at-powercon-associates-l-l-c-3732707619?refId=CnycumITDgNGhJ5Z9tXw%2FA%3D%3D&trackingId=eIVdQYyqZktJQGxgdUMZpw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card 
Architectural Business Development Leader - Asset Strategy, NELSON Worldwide, https://www.linkedin.com/jobs/view/architectural-business-development-leader-asset-strategy-at-nelson-worldwide-3701150069?refId=CnycumITDgNGhJ5Z9tXw%2FA%3D%3D&trackingId=EFAPr02n%2B6XkvALqzO6sPg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card 
Global Business Development Manager - US, Otrium, https://www.linkedin.com/jobs/view/global-business-development-manager-us-at-otrium-3732796561?refId=CnycumITDgNGhJ5Z9tXw%2FA%3D%3D&trackingId=Lp65P%2B5Biv9apzafar1Wmg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card 
