10/10/2023, 6:24:10 PM 
Role,Company,LinkedIn 
Associate Designer, SBH Fashion, https://www.linkedin.com/jobs/view/associate-designer-at-sbh-fashion-3696090238?refId=nj4uJvSsma747551reJ2Sw%3D%3D&trackingId=vTg1w%2BCBc0Kw9PJXm0%2FhAQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Graphic Designer, JBC, https://www.linkedin.com/jobs/view/graphic-designer-at-jbc-3735355983?refId=nj4uJvSsma747551reJ2Sw%3D%3D&trackingId=vyog1zZsqDupgr%2F9e0eEsA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Graphic Design Specialist (Onsite), Cella, https://www.linkedin.com/jobs/view/graphic-design-specialist-onsite-at-cella-3735354637?refId=nj4uJvSsma747551reJ2Sw%3D%3D&trackingId=lW90WSOWzoWj%2FXhg3Qb8Uw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Art Director, Coinbase, https://www.linkedin.com/jobs/view/senior-art-director-at-coinbase-3731531669?refId=nj4uJvSsma747551reJ2Sw%3D%3D&trackingId=mRQvOMhkeec9NXbiFW4IEQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
Assistant Designer (Design Ops), Centric Brands, https://www.linkedin.com/jobs/view/assistant-designer-design-ops-at-centric-brands-3735353878?refId=nj4uJvSsma747551reJ2Sw%3D%3D&trackingId=zWw7tsRwa%2Bpfhx21PVTVkg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Product Designer - Hybrid, UX Hires, https://www.linkedin.com/jobs/view/senior-product-designer-hybrid-at-ux-hires-3731538664?refId=nj4uJvSsma747551reJ2Sw%3D%3D&trackingId=ipGVLOXKVb84A0UsnFwIWw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card 
Project Manager (Architectural Lighting Design), One Lux Studio LLC, https://www.linkedin.com/jobs/view/project-manager-architectural-lighting-design-at-one-lux-studio-llc-3736950464?refId=nj4uJvSsma747551reJ2Sw%3D%3D&trackingId=KbasyQTDZqvw3kSd71Glkg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card 
Lead/Senior Product Designer, Public, https://www.linkedin.com/jobs/view/lead-senior-product-designer-at-public-3731541897?refId=nj4uJvSsma747551reJ2Sw%3D%3D&trackingId=mDEK%2BwhX%2Bw7Rs2Loc%2FeOog%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card 
Instructional Designer, NYU Langone Health, https://www.linkedin.com/jobs/view/instructional-designer-at-nyu-langone-health-3735353433?refId=nj4uJvSsma747551reJ2Sw%3D%3D&trackingId=VxbPRKfne5mYrBrFt0IE5A%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card 
Director Creative Strategy, Sunshine Sachs Morgan & Lylis, https://www.linkedin.com/jobs/view/director-creative-strategy-at-sunshine-sachs-morgan-lylis-3731539520?refId=nj4uJvSsma747551reJ2Sw%3D%3D&trackingId=3KdBJoFvh5Mq9LFBM6aO%2FA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card 
