10/10/2023, 10:10:29 AM 
Role,Company,LinkedIn 
Architectural Designer, Pave Talent, https://www.linkedin.com/jobs/view/architectural-designer-at-pave-talent-3735078814?refId=765o8i6%2BpqXyqopQAIyjUg%3D%3D&trackingId=R08F%2FdHfCL3W1I4ioDoDaw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
UX/Visual Designer II, Dice, https://www.linkedin.com/jobs/view/ux-visual-designer-ii-at-dice-3730754688?refId=765o8i6%2BpqXyqopQAIyjUg%3D%3D&trackingId=ySAsW8fnvfx7FUDfItZzBA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Product Design Manager, Get It Recruit - Transportation, https://www.linkedin.com/jobs/view/senior-product-design-manager-at-get-it-recruit-transportation-3731084865?refId=765o8i6%2BpqXyqopQAIyjUg%3D%3D&trackingId=gyu%2BE616mbTMnzdemnwuIg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
