10/9/2023, 12:00:00 PM 
Role,Company,LinkedIn 
Junior Photographer, Rent The Runway, https://www.linkedin.com/jobs/view/junior-photographer-at-rent-the-runway-3734714721?refId=fqsVOpuydQb64%2BQvokUNKA%3D%3D&trackingId=sCKjedTDuMgN%2BEKDtyYAkw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
Store Design + Visual Merchandiser Senior Manager, (MALIN+GOETZ), https://www.linkedin.com/jobs/view/store-design-%2B-visual-merchandiser-senior-manager-at-malin%2Bgoetz-3730583117?refId=fqsVOpuydQb64%2BQvokUNKA%3D%3D&trackingId=17hc9327pLlfegauth1qAg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Associate Creative Director, Univision, https://www.linkedin.com/jobs/view/associate-creative-director-at-univision-3726706974?refId=fqsVOpuydQb64%2BQvokUNKA%3D%3D&trackingId=A7v56I9bFiLGXT7Vg4c55w%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Sr. Director Global Outlet Planning, Tory Burch, https://www.linkedin.com/jobs/view/sr-director-global-outlet-planning-at-tory-burch-3733587730?refId=fqsVOpuydQb64%2BQvokUNKA%3D%3D&trackingId=zFe%2B%2Bz3ZJmmVUrvrdFeaMQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
3D Architect Team Lead, Obsess, https://www.linkedin.com/jobs/view/3d-architect-team-lead-at-obsess-3736129066?refId=fqsVOpuydQb64%2BQvokUNKA%3D%3D&trackingId=t8a0JGCa39KrTZIVaz%2BK9Q%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
Pega Architect, HexaQuEST Global, https://www.linkedin.com/jobs/view/pega-architect-at-hexaquest-global-3734702521?refId=fqsVOpuydQb64%2BQvokUNKA%3D%3D&trackingId=scCJ3unCnWsoeIqV4%2FK%2BTw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card 
PEGA ARCHITECT, HexaQuEST Global, https://www.linkedin.com/jobs/view/pega-architect-at-hexaquest-global-3730576739?refId=fqsVOpuydQb64%2BQvokUNKA%3D%3D&trackingId=hpFGrG5%2B9iS1%2FLLZDrz4ww%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card 
Pega Lead System Architect, HexaQuEST Global, https://www.linkedin.com/jobs/view/pega-lead-system-architect-at-hexaquest-global-3736128668?refId=fqsVOpuydQb64%2BQvokUNKA%3D%3D&trackingId=I88U3QEOrcrP184DCvpCgw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card 
