10/4/2023, 12:47:32 PM 
Role,Company,LinkedIn 
Junior Media Designer, Ghostly International, https://www.linkedin.com/jobs/view/junior-media-designer-at-ghostly-international-3733153719?refId=NinglbpTsFGYTbxSWUOcSQ%3D%3D&trackingId=Rv4vd8TSV8pFdVk8OpCE%2BQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card 
TCTI Graphic Designer, Pfizer, https://www.linkedin.com/jobs/view/tcti-graphic-designer-at-pfizer-3720384521?refId=NinglbpTsFGYTbxSWUOcSQ%3D%3D&trackingId=yWD2%2BXfVDvnESO4IdgRB3w%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card 
Designer, the ASSURANCE group, https://www.linkedin.com/jobs/view/designer-at-the-assurance-group-3714617867?refId=NinglbpTsFGYTbxSWUOcSQ%3D%3D&trackingId=zBcC%2FIgevpFASeaDj8yvhg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Designer, Ideas On Purpose, https://www.linkedin.com/jobs/view/senior-designer-at-ideas-on-purpose-3541598655?refId=NinglbpTsFGYTbxSWUOcSQ%3D%3D&trackingId=IS9WFxCpCP915iPQ8kw%2FpQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card 
Motion Designer, Craft, https://www.linkedin.com/jobs/view/motion-designer-at-craft-3732285838?refId=NinglbpTsFGYTbxSWUOcSQ%3D%3D&trackingId=QjJCJ%2BXdjQBReHa6Gam9bA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card 
Product Designer (Mailchimp), Intuit, https://www.linkedin.com/jobs/view/product-designer-mailchimp-at-intuit-3733171232?refId=NinglbpTsFGYTbxSWUOcSQ%3D%3D&trackingId=dtU9KR2erwuZeDZXtNYP%2Bw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card 
Web Designer, Collibra, https://www.linkedin.com/jobs/view/web-designer-at-collibra-3707672208?refId=NinglbpTsFGYTbxSWUOcSQ%3D%3D&trackingId=7Eyr2DbQBTbV3PfWmiU9%2FQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card 
Graphic Designer III, Apex Systems, https://www.linkedin.com/jobs/view/graphic-designer-iii-at-apex-systems-3733165003?refId=NinglbpTsFGYTbxSWUOcSQ%3D%3D&trackingId=Joaz%2FmtztIZY%2BZ33g6BtKw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card 
Associate Creative Director, Univision, https://www.linkedin.com/jobs/view/associate-creative-director-at-univision-3726706974?refId=NinglbpTsFGYTbxSWUOcSQ%3D%3D&trackingId=PeXezIM0GuRc%2FVhojIfVPw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Communications Designer (Media Planning), Initiative, https://www.linkedin.com/jobs/view/senior-communications-designer-media-planning-at-initiative-3733150790?refId=NinglbpTsFGYTbxSWUOcSQ%3D%3D&trackingId=%2F6BOCh6466B4QKOaWbravg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Communications Designer (Media Planning), HealixGlobal, https://www.linkedin.com/jobs/view/senior-communications-designer-media-planning-at-healixglobal-3733168676?refId=NinglbpTsFGYTbxSWUOcSQ%3D%3D&trackingId=lWHH5QJFEuy6%2Fgacsd6fXg%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card 
Brand Designer - Senior at Dovr in New York NY, Dovr Media, undefined 
Sr. Product Designer - End Client Experience, Addepar, https://www.linkedin.com/jobs/view/sr-product-designer-end-client-experience-at-addepar-3733174025?refId=NinglbpTsFGYTbxSWUOcSQ%3D%3D&trackingId=28YJp9mqIiFtGSjAMkBszg%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card 
Senior Content Designer - Artificial Intelligence, Wells Fargo, https://www.linkedin.com/jobs/view/senior-content-designer-artificial-intelligence-at-wells-fargo-3720053022?refId=NinglbpTsFGYTbxSWUOcSQ%3D%3D&trackingId=KWCGc%2B3WegKQ0OOC%2FSYqzg%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card 
Mergers and Acquisitions Associate, Barney, https://www.linkedin.com/jobs/view/mergers-and-acquisitions-associate-at-barney-3733164267?refId=NinglbpTsFGYTbxSWUOcSQ%3D%3D&trackingId=QBHHEnlEidzrv3Fwz%2BdA1w%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card 
Dashboard Design Lead, Annalect, https://www.linkedin.com/jobs/view/dashboard-design-lead-at-annalect-3728383688?refId=NinglbpTsFGYTbxSWUOcSQ%3D%3D&trackingId=BQtPJ%2B%2B6JwveZ%2BWUkrbpMw%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card 
Data Modeler/Architect, SAGE IT, https://www.linkedin.com/jobs/view/data-modeler-architect-at-sage-it-3732285444?refId=NinglbpTsFGYTbxSWUOcSQ%3D%3D&trackingId=iObSxy0xpOq47xYEiRUzCw%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card 
Magento Developer, VERRAGIO, https://www.linkedin.com/jobs/view/magento-developer-at-verragio-3733139435?refId=NinglbpTsFGYTbxSWUOcSQ%3D%3D&trackingId=Ixbd92NWczvqfYESUoCVUQ%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card 
Data Modeler Architect, MSRcosmos LLC, https://www.linkedin.com/jobs/view/data-modeler-architect-at-msrcosmos-llc-3728455771?refId=NinglbpTsFGYTbxSWUOcSQ%3D%3D&trackingId=8w5pc7zWiPtzfQdlMcX9aw%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card 
Ops Excellence Manager, LivePerson, https://www.linkedin.com/jobs/view/ops-excellence-manager-at-liveperson-3728453693?refId=NinglbpTsFGYTbxSWUOcSQ%3D%3D&trackingId=WWaptkyt6MRRXM8anWVrzA%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card 
Accounting Manager, Warby Parker, https://www.linkedin.com/jobs/view/accounting-manager-at-warby-parker-3728462344?refId=NinglbpTsFGYTbxSWUOcSQ%3D%3D&trackingId=aBxMWe3Ql3tE42wXiSLamA%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card 
